Model,scenario,obj_value,number_of_EVs,Demand,AvailabeType_4,InstalledType_4,AvailabeType_8,InstalledType_8,AvailabeType_19,InstalledType_19,Time
FCFS,2051,15300.0,60,1120.0,4,2,7,3,6,4,415.6792116165161
FCFS,2052,18000.0,60,1100.0,4,1,7,4,6,5,93.57439923286438
FCFS,2053,18300.0,60,1197.0,4,2,7,5,6,4,125.26659846305847
FCFS,2054,15300.0,60,1084.0,4,2,7,3,6,4,525.7954878807068
FCFS,2055,17300.0,60,1124.0,4,4,7,3,6,4,51.14413046836853
FCFS,2056,14800.0,60,992.0,3,3,6,2,5,4,150.7939920425415
FCFS,2057,15100.0,60,1016.0,3,1,6,5,5,3,176.31802368164062
FCFS,2058,20300.0,60,1066.0,4,4,7,5,6,4,47.82202863693237
FCFS,2059,17100.0,60,1088.0,4,3,7,5,6,3,151.52158975601196
FCFS,2060,18800.0,60,1047.0,3,1,6,6,5,4,132.6607141494751
FCFS,2061,16800.0,60,1018.0,3,2,6,4,5,4,167.87016940116882
FCFS,2062,22300.0,60,1163.0,4,3,7,7,6,4,48.755149126052856
FCFS,2063,19800.0,60,1122.0,4,2,7,6,6,4,52.844395875930786
FCFS,2064,15600.0,60,1149.0,4,3,7,4,6,3,97.3505494594574
FCFS,2065,21500.0,60,1090.0,4,3,7,5,6,5,36.7429141998291
FCFS,2066,16100.0,60,942.0,3,2,6,5,5,3,95.21827840805054
FCFS,2067,22200.0,60,1189.0,4,3,7,4,6,6,82.73447489738464
FCFS,2068,20300.0,60,1279.0,4,4,8,5,6,4,107.4754569530487
FCFS,2069,16300.0,60,1089.0,4,3,7,3,6,4,53.94520139694214
FCFS,2070,17800.0,60,1140.0,4,0,7,6,6,4,164.19739866256714
FCFS,2071,18600.0,60,1094.0,4,3,7,6,6,3,214.5159752368927
FCFS,2072,16300.0,60,1144.0,4,3,7,3,6,4,298.84700107574463
FCFS,2073,17000.0,60,1073.0,4,3,7,2,6,5,198.8914020061493
FCFS,2074,16800.0,60,1029.0,3,2,6,4,5,4,103.33278012275696
FCFS,2075,21000.0,60,1104.0,4,4,7,4,6,5,98.64290380477905
FCFS,2076,19300.0,60,1167.0,4,3,7,5,6,4,73.84414625167847
FCFS,2077,20300.0,60,1160.0,4,4,7,5,6,4,58.1482036113739
FCFS,2078,20300.0,60,1220.0,4,4,7,5,6,4,50.88999271392822
FCFS,2079,19300.0,60,1126.0,4,3,7,5,6,4,145.43900609016418
FCFS,2080,19300.0,60,984.0,3,3,6,5,5,4,104.54200720787048
FCFS,2081,19300.0,60,996.0,3,3,6,5,5,4,54.36916971206665
FCFS,2082,19800.0,60,1056.0,3,2,6,6,5,4,37.020477056503296
FCFS,2083,15800.0,60,992.0,3,1,6,4,5,4,208.4802587032318
FCFS,2084,20300.0,60,1252.0,4,1,8,7,6,4,195.3607132434845
FCFS,2085,20000.0,60,1077.0,4,3,7,4,6,5,118.92504143714905
FCFS,2086,17100.0,60,1087.0,4,3,7,5,6,3,337.1940245628357
FCFS,2087,16800.0,60,1123.0,4,2,7,4,6,4,136.7714684009552
FCFS,2088,25700.0,60,1252.0,4,2,8,7,6,6,59.56929326057434
FCFS,2089,16800.0,60,1053.0,3,2,6,4,5,4,204.02369284629822
FCFS,2090,18000.0,60,1117.0,4,1,7,4,6,5,56.1149263381958
FCFS,2091,16100.0,60,932.0,3,2,6,5,5,3,113.86452507972717
FCFS,2092,24500.0,60,1225.0,4,3,7,7,6,5,25.85315775871277
FCFS,2093,15400.0,60,1010.0,3,2,6,6,5,2,123.55217218399048
FCFS,2094,19100.0,60,1127.0,4,2,7,7,6,3,85.00997138023376
FCFS,2095,17300.0,60,1151.0,4,4,7,3,6,4,255.972065448761
FCFS,2096,15600.0,60,1110.0,4,3,7,4,6,3,150.00915455818176
FCFS,2097,17100.0,60,1139.0,4,3,7,5,6,3,115.94112539291382
FCFS,2098,21500.0,60,1213.0,4,3,7,5,6,5,38.032254457473755
FCFS,2099,18300.0,60,1020.0,3,2,6,5,5,4,33.38203477859497
FCFS,2100,16800.0,60,1245.0,4,2,7,4,6,4,265.94374442100525
FCFS,2101,16300.0,60,1077.0,4,0,7,5,6,4,124.17552471160889
FCFS,2102,17300.0,60,1108.0,4,1,7,5,6,4,83.29249310493469
FCFS,2103,21500.0,60,1213.0,4,3,7,5,6,5,39.706690549850464
FCFS,2104,18300.0,60,1020.0,3,2,6,5,5,4,33.866310358047485
FCFS,2105,16800.0,60,1245.0,4,2,7,4,6,4,264.3788363933563
FCFS,2106,16300.0,60,1077.0,4,0,7,5,6,4,122.38983273506165
FCFS,2107,17300.0,60,1108.0,4,1,7,5,6,4,81.74502277374268
FCFS,2108,21500.0,60,1213.0,4,3,7,5,6,5,37.99479842185974
FCFS,2109,18300.0,60,1020.0,3,2,6,5,5,4,33.463510513305664
FCFS,2110,16800.0,60,1245.0,4,2,7,4,6,4,264.69413709640503
FCFS,2111,16300.0,60,1077.0,4,0,7,5,6,4,124.23048329353333
FCFS,2112,17300.0,60,1108.0,4,1,7,5,6,4,83.71944499015808
FCFS,2113,21500.0,60,1213.0,4,3,7,5,6,5,39.54242920875549
