,offer_01,offer_02,offer_03,bids_01,bids_02,bids_03,Time,Iteration
0,0.0,0.0,0.0,0.070954,0.089569,0.050859,16,0
1,0.0,0.0,0.0,0.215974,0.131009,0.129111,17,0
2,0.0,0.0,0.0,0.326911,0.159058,0.230787,18,0
3,0.0,0.0,0.0,0.340189,0.408812,0.219085,19,0
4,0.0,0.0,0.0,0.496748,0.3885,0.268562,20,0
5,0.44177,0.0,0.0,0.0,0.123542,0.319384,21,0
6,0.0,0.0,0.0,0.472117,0.354438,0.203579,22,0
7,0.0,0.0,0.0,0.554268,0.306522,0.309235,23,0
8,0.0,0.0,0.0,0.233541,0.167115,0.099562,24,0
9,0.318114,0.0,0.0,0.0,0.106875,0.027059,25,0
10,0.0,0.289371,0.0,0.190373,0.0,0.021829,26,0
11,0.623493,0.0,0.0,0.0,0.139622,0.360897,27,0
12,0.0,0.0,0.0,0.544775,0.16854,0.027297,28,0
13,0.0,0.0,0.0,0.184788,0.47652,0.17787,29,0
14,0.0,0.099126,0.0,0.531755,0.0,0.088579,30,0
15,0.0,0.0,0.0,0.333429,0.28364,0.135129,31,0
16,0.0,0.0,0.0,0.205182,0.190877,0.064359,32,0
17,0.0,0.0,0.0,0.156016,0.085791,0.081098,33,0
18,0.0,0.0,0.0,0.101078,0.069039,0.067183,34,0
19,0.0,0.0,0.0,0.050465,0.056646,0.055691,35,0
20,0.0,0.0,0.0,0.284484,0.334956,0.112981,36,0
21,0.0,0.0,0.0,0.158069,0.043927,0.283144,37,0
22,0.0,0.0,0.0,0.047465,0.133843,0.049615,38,0
23,0.0,0.0,0.0,0.048493,0.047065,0.051031,39,0
0,0.0,0.0,0.0,0.057621,0.074871,0.054037,16,1
1,0.0,0.0,0.0,0.185704,0.124775,0.116335,17,1
2,0.0,0.0,0.0,0.324899,0.144823,0.242411,18,1
3,0.0,0.0,0.0,0.357527,0.248468,0.229854,19,1
4,0.0,0.0,0.0,0.760617,0.433053,0.259328,20,1
5,0.3,0.0,0.0,0.0,0.3,0.3,21,1
6,0.45,0.0,0.0,0.0,0.341855,0.219716,22,1
7,0.0,0.0,0.0,0.963143,0.262721,0.194073,23,1
8,0.1,0.15,0.25,0.0,0.0,0.0,24,1
9,0.0,0.0,0.0,0.0,0.3,0.2,25,1
10,0.0,0.05,0.0,0.45,0.0,0.3,26,1
11,0.35,0.0,0.0,0.0,0.25,0.429979,27,1
12,0.05,0.4,0.0,0.0,0.0,0.02219,28,1
13,0.0,0.0,0.0,0.558305,0.610609,0.201884,29,1
14,0.0,0.0,0.0,0.2,0.233414,0.125449,30,1
15,0.0,0.0,0.0,0.504501,0.248676,0.208942,31,1
16,0.0,0.0,0.0,0.237093,0.166538,0.065614,32,1
17,0.0,0.0,0.0,0.252488,0.098465,0.081098,33,1
18,0.0,0.0,0.0,0.108129,0.076039,0.067183,34,1
19,0.0,0.0,0.0,0.175499,0.05754,0.209975,35,1
20,0.0,0.0,0.0,0.060863,0.347785,0.049236,36,1
21,0.0,0.0,0.0,0.146976,0.043927,0.049686,37,1
22,0.0,0.0,0.0,0.049262,0.099937,0.049615,38,1
23,0.0,0.0,0.0,0.048493,0.047065,0.051031,39,1
0,0.0,0.0,0.0,0.05711,0.080181,0.054037,16,2
1,0.0,0.0,0.0,0.125663,0.121827,0.118042,17,2
2,0.0,0.0,0.0,0.212763,0.165862,0.278068,18,2
3,0.0,0.0,0.0,0.330792,0.36175,0.260071,19,2
4,0.0,0.0,0.0,0.523237,0.440409,0.417779,20,2
5,0.35,0.0,0.0,0.0,0.25,0.15,21,2
6,0.0,0.075,0.2,1.27176,0.0,0.0,22,2
7,0.4,0.0,0.0,0.0,0.291743,0.227383,23,2
8,0.0,0.0,0.0,0.25,0.2,0.1,24,2
9,0.15,0.0,0.0,0.0,0.25,0.15,25,2
10,0.0,0.3,0.0,0.2,0.0,0.05,26,2
11,0.425,0.0,0.0,0.0,0.275,0.3,27,2
12,0.0,0.1,0.0,0.25,0.0,0.05,28,2
13,0.0,0.0,0.0,0.782211,0.385617,0.328222,29,2
14,0.0,0.0,0.0,0.0,0.329816,0.139288,30,2
15,0.0,0.0,0.0,0.346837,0.323377,0.305049,31,2
16,0.0,0.0,0.0,0.23502,0.1977,0.154308,32,2
17,0.0,0.0,0.0,0.165172,0.09638,0.108926,33,2
18,0.0,0.0,0.0,0.104881,0.076039,0.074183,34,2
