1,2,3,4,5,6,7,8,9
-1.6277119619494522,-1.9779908066298635,-2.3150581226536087,-1.5789085729304435,-1.8043522333496667,-1.8794999455352654,-1.4217353847751946,-1.5934580333154358,-1.3767626191335562
-4.921273045843368,-4.745199320792383,-4.784937080171824,-4.851491425226794,-5.163802141520349,-4.798489934840185,-4.907347300314214,-4.407208088759196,-4.649217342700579
-4.195112855711636,-3.9137217445367813,-4.069229455673201,-3.8975807941142753,-4.2657607821219345,-3.972333247758115,-4.166955533272762,-3.9954881171038052,-4.112301376491531
-4.039089278057395,-3.758628743948879,-3.914793456003502,-3.7962306282604463,-4.050009904552713,-3.851234325567193,-3.9894069180537923,-3.7926619686751017,-3.922002053541069
-4.028689277217614,-3.7482447436202233,-3.9043614559505047,-3.772312594970271,-4.037721903907798,-3.8408023257288613,-3.9790709152847348,-3.782277966641831,-3.911570054806527
-4.028417277669664,-3.7479727442971824,-3.9040894557640256,-3.7722485943037785,-4.037465904568146,-3.840530325086592,-3.97886291470328,-3.7821179672036047,-3.911298054302383
-4.028433277085815,-3.7479887435557413,-3.9041214558729864,-3.7722805933120376,-4.037513903904198,-3.8405623260639037,-3.9788309152558,-3.782133966059014,-3.9113300533214947
-4.028465277317512,-3.7479887437863044,-3.904153455846644,-3.7722965936204154,-4.037513903247204,-3.840594327015108,-3.9788949153684956,-3.7821499675623196,-3.9113620524583
-4.028513277309052,-3.7480687440507086,-3.9041694555689803,-3.7722485942171073,-4.0374659029775355,-3.840610325957963,-3.9788949154521522,-3.782165966888371,-3.9113780541335745
-4.0284652776785705,-3.7479887440198465,-3.904153456008884,-3.772296593697678,-4.03754590461111,-3.840594326763242,-3.978862915899525,-3.7821179657223016,-3.9113620534140643
-4.0284972770021925,-3.7480047438725435,-3.9041374560263034,-3.772232594229011,-4.03746590411564,-3.8405783260287385,-3.9788789146104393,-3.782117967917487,-3.91134605356562
-4.028433276950602,-3.747956744019677,-3.9041054558733004,-3.772264594780308,-4.037497903574334,-3.8405463257788015,-3.978846914776635,-3.7820699671178026,-3.9113140531460995
-4.028577277489148,-3.748052744238118,-3.904201455952827,-3.7723285943464195,-4.037529904765157,-3.8406423260677918,-3.978846915798241,-3.7821499663113194,-3.91141005445783
-4.0284492771420926,-3.7480207440327624,-3.904137456077966,-3.7722965936211694,-4.037513903073498,-3.840578326142364,-3.9788629157533424,-3.7820859662409596,-3.91134605404368
-4.0283852772067315,-3.747956744133558,-3.904105455860181,-3.7722805945284024,-4.037529904021429,-3.840546326420084,-3.9788789166589162,-3.7821019666972395,-3.9113140537350763
-4.028513277489836,-3.7480687440834406,-3.9042014558834524,-3.7723285945400256,-4.037545903707519,-3.8406423267864453,-3.9789109152745143,-3.7821819659731286,-3.9114100543042682
-4.028529277576195,-3.7480847441461136,-3.90421745589507,-3.772344593692733,-4.037561903682774,-3.8406583292634218,-3.9789269161553995,-3.7821499665611604,-3.911426052730427
