Iteration,"DAs_load
E_DAs_L","DAs_generation
E_DAs_G","DAs_demand_bid
b_t","DAs_supply_offer
o_t",EVs_Charge,EVs_Discharge,TCL_Power,SL_Power,Inflexible_loads,Gen1,Gen2,Gen3,CDA1_supply,CDA2_supply,CDA1_demand,CDA2_demand,Bus1_price,Bus2_price,Bus3_price,Theta_bus_1,Theta_bus_2,Theta_bus_3
0,0.15219528814261915,0.0,0.15219528814261915,0.0,0.0,0.0,0.0050904582426191175,0.12948700000000002,0.0176178299,0.7061952881426192,0.0,0.0,0.0,0.0,0.025,0.529,16.0,16.0,16.0,0.003353065799381468,0.0007324451671821104,0.0
0,0.7714427992238291,0.0,0.7714427992238291,0.0,0.0,0.0,0.062085218823828885,0.6803900000000002,0.028967580399999995,1.8554427992238287,0.0,0.0,0.0,0.0,0.223,0.861,16.0,16.0,16.0,0.00737938961700655,0.0,0.00022335891682115946
0,0.04400000000000066,0.0,0.04400000000000066,0.0,0.0,0.03639072420500101,0.04160176918500162,0.0,0.03878895502,0.0,0.0,0.0,0.0,0.721,0.677,0.0,3.0,3.0,3.0,0.0,0.002076756756756752,0.00375459459459459
0,1.3300518210870493,0.0,1.3300518210870493,0.0,0.0,0.0,0.13902772059705015,1.1496560000000002,0.041368100490000004,1.9540518210870492,0.0,0.0,0.0,0.0,0.087,0.537,16.0,16.0,16.0,0.009650037855112184,0.0,0.0024336535705055387
0,1.8949870494561385,0.0,1.8949870494561385,0.0,0.0,0.0,0.18684314063613822,1.6669759999999998,0.041167908819999995,2.5659870494561385,0.0,0.0,0.0,0.0,0.03,0.641,16.0,16.0,16.0,0.013346409483252716,0.0,0.0037356406742057795
0,0.5876804320636494,0.0,0.5876804320636494,0.0,0.04621276595744681,0.0,0.24584604064620263,0.255851,0.03977062546000001,1.5276804320636492,0.0,0.0,0.0,0.0,0.505,0.435,16.0,16.0,16.0,0.0049051268933514285,0.0,0.0006477849515233767
0,9.500393987455615,0.0,9.500393987455615,0.0,0.09348936170212763,0.0,0.2692302565634638,9.096927000000012,0.04074736919,10.255393987455616,0.0,0.0,0.199,0.0,0.0,0.954,16.0,16.0,16.0,0.05958288316865501,0.0,0.023614037803934097
0,0.6686127667816231,0.0,0.6686127667816231,0.0,0.41195744680851076,0.0,0.2214751706231141,0.0,0.035180149349999995,1.4766127667816231,0.0,0.0,0.0,0.0,0.545,0.263,16.0,16.0,16.0,0.004828508343025867,0.0,0.0012384128831935757
0,0.8104998374004669,0.0,0.8104998374004669,0.0,0.6300212765957446,0.0,0.15814112757472243,0.0,0.022337433230000002,1.5784998374004666,0.0,0.0,0.0,0.0,0.589,0.179,16.0,16.0,16.0,0.005399728762921695,0.0,0.001803513074055316
0,1.01758006248785,0.0,1.01758006248785,0.0,0.9862765957446815,0.0,0.024071538573167812,0.0,0.00723192817,1.89458006248785,0.0,0.0,0.0,0.0,0.006,0.871,16.0,16.0,16.0,0.008875340912089918,0.0,0.0008669731418590536
0,1.0848171138700007,0.0,1.0848171138700007,0.0,1.0770000000000004,0.0,0.0,0.0,0.00781711387,2.421817113870001,0.0,0.0,0.0,0.0,0.698,0.639,16.0,16.0,16.0,0.008522696352740545,0.0,0.0015503165239729748
0,1.1046055203119185,0.0,1.1046055203119185,0.0,1.097646152101919,0.0,0.0,0.0,0.006959368209999999,1.4126055203119183,0.0,0.0,0.0,0.0,0.155,0.153,16.0,16.0,16.0,0.007064140931584379,0.0,0.002654609514356536
0,0.8869142862296938,0.0,0.8869142862296938,0.0,0.8801398822996828,0.0,0.0,0.0,0.00677440393,1.7629142862296938,0.0,0.0,0.0,0.0,0.337,0.539,16.0,16.0,16.0,0.007021652512717099,0.0,0.0012316602330532265
0,0.7171820734833904,0.0,0.7171820734833904,0.0,0.7106947987833876,0.0,0.0,0.0,0.0064872747,1.1501820734833903,0.0,0.0,0.097,0.0,0.0,0.53,16.0,16.0,16.0,0.005983244761252591,0.0,0.0007923839823875413
0,3.551466179367245,0.0,3.551466179367245,0.0,0.27751697600724334,0.0,0.0,3.2665730000000006,0.00737620336,3.8314661793672453,0.0,0.0,0.0,0.324,0.604,0.0,16.0,16.0,16.0,0.020066015120562,0.0,0.010299097782073635
0,0.19900000000000018,0.0,0.19900000000000018,0.0,0.16342084654000055,0.0,0.0,0.02436,0.011219153459999999,0.0,0.0,0.0,0.0,0.929,0.73,0.0,6.0,6.0,6.0,0.0,0.001829729729729729,0.004376216216216216
0,2.3238906102246846,0.0,2.3238906102246846,0.0,0.3152765957446813,0.0,0.0,1.9867580000000018,0.021856014479999998,4.128890610224684,0.0,0.0,0.0,0.0,0.973,0.832,16.0,16.0,16.0,0.01651610633106569,0.0,0.0044818665141207695
0,1.9739024579638307,0.0,1.9739024579638307,0.0,0.19568085106383012,0.0,0.0,1.7526159999999997,0.0256056069,2.5839024579638306,0.0,0.0,0.0,0.0,0.552,0.058,16.0,16.0,16.0,0.011924825425730885,0.0,0.005209466102604947
0,5.803294488693829,0.0,5.803294488693829,0.0,0.019680851063829857,0.0,0.0,5.761600000000018,0.02201363763,7.369294488693829,0.0,0.0,0.0,0.0,0.619,0.947,16.0,16.0,16.0,0.037577426689530874,0.0,0.013637012131604943
0,0.4537194464187235,0.0,0.4537194464187235,0.0,0.005106382978723427,0.0,0.0,0.43188499999999996,0.01672806344,0.5447194464187235,0.0,0.0,0.0,0.486,0.577,0.0,16.0,16.0,16.0,0.0011215750868140315,0.0,0.002277079584915469
0,0.7119006414199999,0.0,0.7119006414199999,0.0,0.0,0.0,0.0,0.6958229999999997,0.01607764142,0.0,0.0,0.0,0.0,0.7579006414199999,0.046,0.0,3.0,3.0,3.0,0.0017748665984324316,0.0,0.0035627598771783777
