EV_Number,EV_Type,Arrival,Depart,Demand,AssignedCharger,ChargerType,Delay,Total_load,,Difference
1,Small,8,17,16,10,19,16,16,,0
2,SUV,11,22,29,11,19,21,29,,0
3,Truck,7,23,39,8,19,21,70,,31
4,Sedan,7,24,18,11,19,24,18,,0
5,Truck,12,20,55,10,19,20,55,,0
6,Sedan,10,21,20,10,19,15,20,,0
7,Sedan,10,20,24,8,19,20,24,,0
8,Truck,9,23,39,10,19,23,41,,2
9,Small,11,20,8,8,19,20,8,,0
10,Small,8,20,16,8,19,17,16,,0
11,Small,12,18,16,11,19,18,16,,0
12,Small,8,19,12,11,19,19,12,,0
13,Sedan,9,20,11,8,19,17,11,,0
14,Small,4,18,13,11,19,11,13,,0
15,Small,6,21,11,10,19,16,11,,0
16,Small,10,21,16,10,19,20,16,,0
17,Sedan,14,20,12,8,19,20,12,,0
18,SUV,8,19,28,8,19,19,28,,0
19,Small,12,17,12,8,19,17,12,,0
20,Sedan,10,16,24,8,19,16,24,,0
21,Truck,7,20,36,11,19,20,36,,0
22,SUV,2,23,4,8,19,19,4,,0
23,Small,7,20,16,11,19,11,16,,0
24,Small,9,21,12,8,19,21,12,,0
25,Small,9,19,16,10,19,15,16,,0
26,Small,5,22,16,11,19,22,16,,0
27,Truck,7,19,23,10,19,19,23,,0
28,SUV,9,20,9,11,19,16,9,,0
29,SUV,6,22,8,11,19,22,56,,48
30,Sedan,7,17,23,8,19,17,23,,0
31,Truck,7,21,28,10,19,21,38,,10
32,Small,7,21,16,11,19,20,24,,8
33,Small,6,19,16,11,19,18,40,,24
34,Small,9,20,16,8,19,14,16,,0
35,Sedan,8,20,12,10,19,16,22,,10
36,SUV,11,21,11,10,19,21,11,,0
37,Small,6,22,16,8,19,18,16,,0
38,SUV,7,23,17,11,19,23,17,,0
39,Small,4,18,6,11,19,13,6,,0
40,Small,7,16,11,8,19,10,11,,0
41,Sedan,8,18,16,8,19,18,16,,0
42,SUV,6,22,7,8,19,15,15,,8
43,Sedan,10,20,24,8,19,19,24,,0
44,SUV,9,20,40,10,19,19,40,,0
45,Sedan,6,18,18,10,19,15,33,,15
46,Small,4,21,10,11,19,16,11,,1
47,Small,8,21,16,11,19,21,16,,0
48,SUV,6,18,23,11,19,15,23,,0
49,Sedan,12,18,11,11,19,18,11,,0
50,Small,8,18,16,11,19,15,16,,0
