EV_Number,EV_Type,Arrival,Depart,Demand,AssignedCharger,ChargerType,Delay,Total_load,,Difference
1,Small,8,20,5,6,19,15,5,,0
2,Sedan,11,23,11,6,19,22,11,,0
3,Small,6,19,16,7,19,19,16,,0
4,Truck,9,20,18,6,19,13,18,,0
5,Small,7,19,16,7,19,15,16,,0
6,SUV,10,16,6,7,19,16,6,,0
7,Sedan,6,20,19,7,19,20,19,,0
8,Sedan,7,18,16,7,19,14,16,,0
9,Truck,8,19,26,6,19,17,26,,0
10,Small,6,23,16,7,19,23,16,,0
11,Sedan,7,17,4,6,19,16,4,,0
12,SUV,6,19,32,6,19,11,32,,0
13,SUV,10,22,27,7,19,22,27,,0
14,Sedan,9,18,24,6,19,17,24,,0
15,SUV,4,21,37,7,19,20,37,,0
16,Truck,10,18,29,7,19,17,29,,0
17,Small,8,19,16,6,19,11,16,,0
18,Small,4,18,16,6,19,12,16,,0
19,Small,7,19,16,7,19,19,16,,0
20,SUV,9,18,17,7,19,18,17,,0
21,Truck,7,19,15,7,19,18,15,,0
22,Sedan,7,16,16,6,19,15,16,,0
23,Small,5,17,16,7,19,9,16,,0
24,SUV,11,17,3,6,19,17,3,,0
25,SUV,10,16,17,7,19,15,17,,0
26,Sedan,8,19,24,7,19,14,24,,0
27,Small,6,23,14,7,19,23,14,,0
28,Truck,6,23,34,7,19,13,34,,0
29,SUV,10,18,25,7,19,14,25,,0
30,Sedan,6,20,23,6,19,20,23,,0
