F_min_DAo,F_max_DAo,F_min_DAb,F_max_DAb,F_min_g_1,F_max_g_1,F_min_g_2,F_max_g_2,F_min_g_3,F_max_g_3,F_min_do_1,F_max_do_1,F_min_do_2,F_max_do_2,F_min_db_1,F_max_db_1,F_min_db_2,F_max_db_2,F_min_l_1,F_max_l_1,F_min_l_2,F_max_l_2,F_min_l_3,F_max_l_3
10000.0,9995.0,0.0,5.000000000000005,0.0,0.0,3.000000000000038,0.0,9.000000000000002,0.0,10000.0,9994.0,8.000000000000002,0.0,0.0,4.0,0.0,7.000000000000002,0.0,0.0,0.0,0.0,0.0,0.0
10000.0,9993.0,0.0,5.999999999999993,0.0,0.0,2.9999999999999893,0.0,8.999999999999993,0.0,4.999999999999986,0.0,3.999999999999993,0.0,0.0,5.999999999999986,0.0,7.999999999999993,0.0,0.0,0.0,0.0,0.0,0.0
7.0,0.0,0.0,11.999999999999993,0.0,0.0,2.9999999999999893,0.0,8.999999999916945,0.0,10000.0,9988.999999999907,10000.0,9996.000000000084,0.0,6.00000000009199,0.0,12.999999999916945,0.0,0.0,0.0,0.0,0.0,0.0
10000.0,9992.0,0.0,7.999999999999993,0.0,0.0,2.9999999999999893,0.0,8.99999999999995,0.0,9.999999999996355,0.0,10000.0,9993.0,0.0,8.999999999996355,0.0,3.9999999999999645,0.0,0.0,0.0,0.0,0.0,0.0
10000.0,9992.0,0.0,6.999999999999993,0.0,0.0,2.9999999999999893,0.0,8.999999999999947,0.0,10000.0,9987.000000000004,10000.0,9993.0,0.0,12.999999999996355,0.0,12.999999999999961,0.0,0.0,0.0,0.0,0.0,0.0
10000.0,9990.0,0.0,11.999999999999993,0.0,0.0,2.9999999999999893,0.0,8.99999999999995,0.0,10.999999999996355,0.0,4.9999999999999645,0.0,0.0,5.999999999996355,0.0,3.9999999999999645,0.0,0.0,0.0,0.0,0.0,0.0
10000.0,9991.0,0.0,8.999999999999993,0.0,0.0,2.9999999999999893,0.0,8.999999999991086,0.0,10000.0,9990.000000000004,8.999999999991086,0.0,0.0,4.999999999996355,9993.000000000007,10000.0,0.0,0.0,0.0,0.0,0.0,0.0
10000.0,9996.0,0.0,4.999999999999993,0.0,0.0,2.9999999999999893,0.0,9.000000000043498,0.0,10000.0,9990.000000000004,7.000000000043501,0.0,0.0,10.999999999996355,9993.999999999956,10000.0,0.0,0.0,0.0,0.0,0.0,0.0
10000.0,9988.0,0.0,6.999999999999993,0.0,0.0,2.9999999999999893,0.0,8.999999999999947,0.0,11.999999999996355,0.0,10000.0,9994.0,0.0,7.999999999996355,0.0,12.999999999999961,0.0,0.0,0.0,0.0,0.0,0.0
13.000000000000007,0.0,0.0,14.000000000000007,0.0,0.0,3.000000000000007,0.0,9.000000000000007,0.0,10000.0,9996.0,5.000000000000007,0.0,0.0,7.000000000000009,0.0,12.000000000000007,0.0,0.0,0.0,0.0,0.0,0.0
