Iteration,F_min_DAo,F_max_DAo,F_min_DAb,F_max_DAb,F_min_g_1,F_max_g_1,F_min_g_2,F_max_g_2,F_min_g_3,F_max_g_3,F_min_g_4,F_max_g_4,F_min_g_5,F_max_g_5,F_min_g_6,F_max_g_6,F_min_g_7,F_max_g_7,F_min_g_8,F_max_g_8,F_min_g_9,F_max_g_9,F_min_g_10,F_max_g_10,F_min_do_1,F_max_do_1,F_min_do_2,F_max_do_2,F_min_do_3,F_max_do_3,F_min_do_4,F_max_do_4,F_min_do_5,F_max_do_5,F_min_do_6,F_max_do_6,F_min_do_7,F_max_do_7,F_min_do_8,F_max_do_8,F_min_do_9,F_max_do_9,F_min_do_10,F_max_do_10,F_min_do_11,F_max_do_11,F_min_do_12,F_max_do_12,F_min_do_13,F_max_do_13,F_min_do_14,F_max_do_14,F_min_do_15,F_max_do_15,F_min_do_16,F_max_do_16,F_min_db_1,F_max_db_1,F_min_db_2,F_max_db_2,F_min_db_3,F_max_db_3,F_min_db_4,F_max_db_4,F_min_db_5,F_max_db_5,F_min_db_6,F_max_db_6,F_min_db_7,F_max_db_7,F_min_db_8,F_max_db_8,F_min_db_9,F_max_db_9,F_min_db_10,F_max_db_10,F_min_db_11,F_max_db_11,F_min_db_12,F_max_db_12,F_min_db_13,F_max_db_13,F_min_db_14,F_max_db_14,F_min_db_15,F_max_db_15,F_min_db_16,F_max_db_16,F_min_l_1,F_max_l_1,F_min_l_2,F_max_l_2,F_min_l_3,F_max_l_3,F_min_l_4,F_max_l_4,F_min_l_5,F_max_l_5,F_min_l_6,F_max_l_6,F_min_l_7,F_max_l_7,F_min_l_8,F_max_l_8,F_min_l_9,F_max_l_9,F_min_l_10,F_max_l_10,F_min_l_11,F_max_l_11,F_min_l_12,F_max_l_12,F_min_l_13,F_max_l_13,F_min_l_14,F_max_l_14,F_min_l_15,F_max_l_15,F_min_l_16,F_max_l_16,F_min_l_17,F_max_l_17,F_min_l_18,F_max_l_18,F_min_l_19,F_max_l_19,F_min_l_20,F_max_l_20,F_min_l_21,F_max_l_21,F_min_l_22,F_max_l_22,F_min_l_23,F_max_l_23,F_min_l_24,F_max_l_24,F_min_l_25,F_max_l_25,F_min_l_26,F_max_l_26,F_min_l_27,F_max_l_27,F_min_l_28,F_max_l_28,F_min_l_29,F_max_l_29,F_min_l_30,F_max_l_30,F_min_l_31,F_max_l_31,F_min_l_32,F_max_l_32,F_min_l_33,F_max_l_33,F_min_l_34,F_max_l_34
0,1000.0,999.9999999999999,0.0,96.00000000000006,0.0,2.9999999999999467,13.000000000000053,0.0,29.000000000000064,0.0,45.00000000000008,0.0,61.0000000000001,0.0,77.0000000000001,0.0,93.00000000000011,0.0,109.00000000000011,0.0,125.0000000000001,0.0,141.00000000000009,0.0,0.0,0.0,0.0,9.999999999999947,0.0,5.999999999999922,0.0,0.0,0.0,8.999999999999943,0.0,0.0,0.0,8.999999999999936,0.0,9.999999999999927,0.0,8.999999999999941,0.0,3.999999999999922,0.0,2.999999999999913,0.0,4.9999999999999005,0.0,8.9999999999999,0.0,5.999999999999886,0.0,7.999999999999904,0.0,8.999999999999906,0.0,93.00000000000004,0.0,69.00000000000006,0.0,91.00000000000009,0.0,79.00000000000006,0.0,64.00000000000006,0.0,61.00000000000003,0.0,75.00000000000006,0.0,82.00000000000007,0.0,70.00000000000006,0.0,91.00000000000009,0.0,73.00000000000009,0.0,89.0000000000001,0.0,63.0000000000001,0.0,92.00000000000011,0.0,81.0000000000001,0.0,61.00000000000009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,33.0,0.0,61.0,0.0,31.999999999999943,0.0,15.999999999999325,0.0,0.0,16.000000000000057,0.0,32.000000000000135,0.0,48.00000000000013,0.0,64.00000000000017,0.0,80.00000000000016,0.0,96.00000000000017,0.0,112.0000000000001,0.0,0.0,27.999999999999943,0.0,34.999999999999325,0.0,27.99999999999993,0.0,34.9999999999997,0.0,36.99999999999994,0.0,37.999999999999815,0.0,31.999999999999567,0.0,35.00000000000002,0.0,27.999999999999964,0.0,28.999999999999943,0.0,30.999999999999908,0.0,28.999999999999865,0.0,32.99999999999987,0.0,29.999999999999837,0.0,29.99999999999988,0.0,38.999999999999886,0.0,44.00000000000006,0.0,69.00000000000068,0.0,42.00000000000007,0.0,70.0000000000003,0.0,69.00000000000006,0.0,45.000000000000185,0.0,68.0,0.0,48.99999999999998,0.0,69.00000000000003,0.0,63.00000000000006,0.0,58.00000000000009,0.0,58.000000000000135,0.0,37.00000000000013,0.0,64.00000000000017,0.0,64.00000000000011,0.0,42.000000000000114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.9999999999999396,0.0,0.0,91.99999999999994,0.0,3.0000000000000266,12.99999999999997,0.0,28.99999999999994,0.0,44.99999999999997,0.0,61.0,0.0,77.0,0.0,93.0,0.0,109.0,0.0,125.0,0.0,141.0,0.0,0.0,10.000000000000027,0.0,3.00000000000003,0.0,5.000000000000053,0.0,1.0000000000000533,0.0,10.00000000000003,0.0,3.000000000000032,0.0,9.00000000000006,0.0,8.000000000000073,0.0,9.000000000000034,0.0,9.00000000000003,0.0,1.0000000000000178,0.0,5.999999999999998,0.0,4.999999999999998,0.0,7.000000000000005,0.0,0.0,0.0,8.000000000000002,0.0,90.99999999999997,0.0,87.99999999999997,0.0,80.99999999999994,0.0,78.99999999999994,0.0,96.99999999999997,0.0,86.99999999999997,0.0,67.99999999999994,0.0,69.99999999999993,0.0,68.99999999999997,0.0,84.99999999999997,0.0,80.99999999999999,0.0,98.0,0.0,90.0,0.0,91.0,0.0,80.0,0.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,50.99999999999947,0.0,33.00000000000053,0.0,48.00000000001387,0.0,32.00000000001236,0.0,15.999999999999801,0.0,0.0,15.999999999998735,0.0,31.999999999999048,0.0,47.999999999998934,0.0,63.99999999999888,0.0,79.99999999999892,0.0,95.99999999999963,0.0,0.0,46.00000000001387,0.0,55.00000000001236,0.0,54.000000000004505,0.0,48.99999999999915,0.0,55.00000000001225,0.0,46.000000000011,0.0,44.99999999999947,0.0,52.999999999988326,0.0,48.00000000001057,0.0,47.99999999999996,0.0,49.000000000000355,0.0,50.000000000001265,0.0,45.00000000000095,0.0,49.000000000001066,0.0,49.000000000000696,0.0,53.00000000000048,0.0,48.99999999998613,0.0,36.99999999998764,0.0,35.999999999995495,0.0,23.000000000000853,0.0,45.99999999998775,0.0,41.999999999989,0.0,35.00000000000053,0.0,27.000000000011674,0.0,41.99999999998943,0.0,24.00000000000001,0.0,14.999999999999645,0.0,13.999999999998735,0.0,51.99999999999905,0.0,45.999999999998934,0.0,24.999999999999304,0.0,35.99999999999952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,31.999999999999545,0.0,32.00000000000004,0.0,31.999999999999964,0.0,15.999999999999979,0.0,0.0,16.00000000000002,0.0,31.999999999999922,0.0,47.999999999999915,0.0,63.999999999999915,0.0,79.99999999999991,0.0,95.99999999999991,0.0,112.00000000000007,0.0,0.0,27.999999999999964,0.0,29.99999999999998,0.0,32.0,0.0,28.99999999999998,0.0,34.99999999999997,0.0,32.99999999999998,0.0,35.99999999999994,0.0,30.99999999999998,0.0,31.99999999999998,0.0,27.99999999999998,0.0,38.00000000000003,0.0,37.00000000000008,0.0,33.000000000000085,0.0,31.000000000000085,0.0,38.000000000000014,0.0,29.999999999999957,0.0,52.000000000000036,0.0,35.00000000000002,0.0,39.0,0.0,58.00000000000002,0.0,54.00000000000003,0.0,63.00000000000002,0.0,35.000000000000014,0.0,51.00000000000002,0.0,32.00000000000002,0.0,42.00000000000002,0.0,55.99999999999997,0.0,34.99999999999992,0.0,63.999999999999915,0.0,64.99999999999991,0.0,58.999999999999986,0.0,33.00000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,34.999999999999545,0.0,44.000000000001144,0.0,31.999999999999922,0.0,15.999999999999304,0.0,0.0,16.00000000000007,0.0,32.000000000000156,0.0,48.000000000000156,0.0,64.0000000000002,0.0,80.00000000000018,0.0,96.0000000000002,0.0,112.00000000000011,0.0,0.0,31.999999999999922,0.0,33.999999999999304,0.0,37.999999999999915,0.0,33.9999999999997,0.0,31.99999999999993,0.0,34.99999999999979,0.0,28.999999999999943,0.0,35.00000000000003,0.0,33.99999999999993,0.0,31.99999999999993,0.0,27.999999999999886,0.0,28.999999999999844,0.0,27.999999999999844,0.0,29.9999999999998,0.0,36.99999999999986,0.0,38.99999999999987,0.0,34.00000000000008,0.0,57.000000000000696,0.0,45.000000000000085,0.0,34.0000000000003,0.0,59.00000000000007,0.0,63.00000000000021,0.0,67.00000000000001,0.0,60.99999999999997,0.0,56.00000000000007,0.0,68.00000000000007,0.0,33.000000000000114,0.0,31.000000000000156,0.0,31.000000000000156,0.0,31.0000000000002,0.0,60.00000000000014,0.0,51.00000000000013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,52.00000000013678,0.0,38.99999999986322,0.0,47.99999999683564,0.0,31.999999997097163,0.0,16.00000000013678,0.0,0.0,16.00000000031597,0.0,32.000000000243965,0.0,48.00000000028115,0.0,64.0000000002921,0.0,80.00000000028312,0.0,96.00000000010134,0.0,0.0,50.99999999683564,0.0,43.99999999709716,0.0,52.999999998979604,0.0,53.99999999843766,0.0,53.99999999802513,0.0,54.99999999874261,0.0,45.00000000013678,0.0,52.999999999534964,0.0,46.99999999925791,0.0,54.00000000000053,0.0,53.999999999907516,0.0,47.99999999968403,0.0,54.999999999756035,0.0,45.99999999971885,0.0,43.99999999981682,0.0,44.99999999986956,0.0,39.00000000316436,0.0,20.000000002902837,0.0,20.000000001020396,0.0,44.00000000156234,0.0,51.00000000197487,0.0,53.00000000125739,0.0,22.99999999986322,0.0,26.000000000465036,0.0,37.00000000074209,0.0,21.999999999999247,0.0,39.000000000092484,0.0,30.00000000031597,0.0,54.000000000243965,0.0,38.00000000028115,0.0,54.00000000018318,0.0,31.00000000013044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,48.99999999999916,0.0,52.00000000000079,0.0,48.0000000000216,0.0,32.00000000001924,0.0,15.999999999999915,0.0,0.0,15.999999999998003,0.0,31.999999999998494,0.0,47.99999999999829,0.0,63.999999999998195,0.0,79.99999999999827,0.0,95.9999999999994,0.0,0.0,52.0000000000216,0.0,53.00000000001924,0.0,52.00000000000692,0.0,44.99999999999869,0.0,54.00000000001905,0.0,44.000000000017074,0.0,45.99999999999916,0.0,53.999999999981874,0.0,46.0000000000164,0.0,53.999999999999964,0.0,45.000000000000576,0.0,54.000000000002,0.0,51.000000000001506,0.0,45.00000000000171,0.0,45.000000000001116,0.0,54.000000000000774,0.0,15.9999999999784,0.0,28.99999999998076,0.0,22.99999999999308,0.0,42.00000000000131,0.0,48.99999999998095,0.0,23.999999999982926,0.0,36.000000000000824,0.0,28.000000000018126,0.0,28.9999999999836,0.0,30.000000000000014,0.0,45.999999999999424,0.0,26.999999999998003,0.0,45.999999999998494,0.0,43.99999999999829,0.0,24.999999999998884,0.0,20.999999999999226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,31.999999999999545,0.0,33.00000000000649,0.0,32.0,0.0,16.0,0.0,0.0,16.00000000000005,0.0,32.000000000000114,0.0,48.00000000000013,0.0,64.00000000000016,0.0,80.00000000000014,0.0,96.00000000000017,0.0,112.00000000000009,0.0,0.0,30.0,0.0,38.0,0.0,29.000000000000192,0.0,36.00000000000004,0.0,35.99999999999995,0.0,33.99999999999992,0.0,38.999999999999915,0.0,29.00000000000007,0.0,37.9999999999999,0.0,33.99999999999995,0.0,28.999999999999908,0.0,37.999999999999886,0.0,29.999999999999872,0.0,28.999999999999844,0.0,38.999999999999886,0.0,34.9999999999999,0.0,57.0,0.0,57.0,0.0,45.99999999999981,0.0,69.99999999999996,0.0,32.00000000000005,0.0,53.00000000000008,0.0,49.00000000000001,0.0,37.99999999999993,0.0,58.0000000000001,0.0,33.00000000000005,0.0,53.00000000000009,0.0,39.000000000000114,0.0,66.00000000000013,0.0,32.000000000000156,0.0,38.000000000000114,0.0,53.0000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,37.999999999999844,0.0,30.000000000000043,0.0,31.999999999999815,0.0,15.999999999999822,0.0,0.0,16.000000000000227,0.0,32.00000000000036,0.0,48.000000000000355,0.0,64.00000000000038,0.0,80.00000000000037,0.0,96.00000000000037,0.0,112.00000000000028,0.0,0.0,33.999999999999815,0.0,34.99999999999982,0.0,27.999999999999723,0.0,31.999999999999787,0.0,30.999999999999865,0.0,35.99999999999989,0.0,38.999999999999844,0.0,38.999999999999766,0.0,31.999999999999915,0.0,29.999999999999773,0.0,30.999999999999716,0.0,37.99999999999964,0.0,34.999999999999645,0.0,30.999999999999616,0.0,37.99999999999967,0.0,31.999999999999694,0.0,31.000000000000185,0.0,67.00000000000017,0.0,42.00000000000028,0.0,49.00000000000021,0.0,58.000000000000135,0.0,53.00000000000011,0.0,55.000000000000156,0.0,39.000000000000234,0.0,69.00000000000009,0.0,60.00000000000023,0.0,45.000000000000284,0.0,65.00000000000037,0.0,45.000000000000355,0.0,70.00000000000038,0.0,34.00000000000033,0.0,57.000000000000306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
