Model,scenario,obj_value,number_of_EVs,Demand,AvailabeType_4,InstalledType_4,AvailabeType_8,InstalledType_8,AvailabeType_19,InstalledType_19,Time
FCFS,82,4200.0,10,233.0,4,2,3,0,2,1,1.1239454746246338
FCFS,83,3500.0,10,155.0,3,2,2,1,2,0,1.2590937614440918
FCFS,84,3700.0,10,192.0,3,0,2,1,2,1,0.6890792846679688
FCFS,85,3700.0,10,166.0,3,0,2,1,2,1,1.2492132186889648
FCFS,86,4400.0,10,225.0,4,0,3,0,2,2,1.2488951683044434
FCFS,87,3000.0,10,145.0,3,0,2,2,2,0,1.0672836303710938
FCFS,88,3700.0,10,175.0,3,0,2,1,2,1,1.2730607986450195
FCFS,89,3700.0,10,210.0,4,0,3,1,2,1,1.1510417461395264
FCFS,90,2500.0,10,133.0,3,1,2,1,2,0,0.8584678173065186
FCFS,91,5200.0,10,215.0,4,0,3,2,2,1,0.7546782493591309
