Model,Scenario,Number_of_EVs,EV_No,Arrival,Depart,EV_Type,BatteryCapacity,Distance,Demand,Alloc_charger,Delay
FCFS,1,10,1,4.0,21.0,Sedan,24,37.912,16.0,19,0
FCFS,1,10,2,7.0,20.0,Small,16,6.687,3.0,19,0
FCFS,1,10,3,7.0,21.0,Small,16,22.128,8.0,19,0
FCFS,1,10,4,7.0,20.0,Small,16,33.742,13.0,19,0
FCFS,1,10,5,8.0,20.0,SUV,54,6.239,4.0,19,0
FCFS,1,10,6,8.0,23.0,Sedan,24,63.126,24,19,0
FCFS,1,10,7,9.0,21.0,Truck,70,21.724,18.0,19,0
FCFS,1,10,8,9.0,21.0,Sedan,24,68.496,24,19,0
FCFS,1,10,9,10.0,20.0,Small,16,28.968,11.0,19,0
FCFS,1,10,10,12.0,22.0,Small,16,44.683,16,19,0
FCFS,2,10,1,7.0,19.0,SUV,54,64.098,37.0,19,0
FCFS,2,10,2,8.0,17.0,Sedan,24,6.392,3.0,4,0
FCFS,2,10,3,8.0,19.0,Sedan,24,18.212,8.0,4,0
FCFS,2,10,4,8.0,18.0,Sedan,24,49.033,21.0,19,0
FCFS,2,10,5,9.0,19.0,Small,16,11.012,4.0,4,0
FCFS,2,10,6,10.0,17.0,SUV,54,41.872,24.0,19,0
FCFS,2,10,7,10.0,17.0,Sedan,24,42.443,18.0,19,0
FCFS,2,10,8,10.0,19.0,Small,16,56.837,16,4,0
FCFS,2,10,9,11.0,17.0,SUV,54,62.008,36.0,19,0
FCFS,2,10,10,11.0,23.0,Small,16,76.086,16,19,0
FCFS,3,10,1,5.0,18.0,Sedan,24,27.686,12.0,8,0
FCFS,3,10,2,5.0,21.0,Small,16,45.622,16,8,0
FCFS,3,10,3,6.0,20.0,Truck,70,33.499,27.0,8,0
FCFS,3,10,4,6.0,19.0,SUV,54,68.778,39.0,8,0
FCFS,3,10,5,6.0,17.0,Small,16,48.304,16,8,0
FCFS,3,10,6,7.0,20.0,SUV,54,13.436,8.0,8,0
FCFS,3,10,7,7.0,21.0,SUV,54,50.442,29.0,8,0
FCFS,3,10,8,8.0,22.0,Small,16,56.176,16,8,0
FCFS,3,10,9,8.0,17.0,Small,16,45.796,16,8,0
FCFS,3,10,10,9.0,19.0,Small,16,43.974,16,8,0
FCFS,4,10,1,7.0,16.0,SUV,54,51.106,29.0,19,0
FCFS,4,10,2,7.0,17.0,Sedan,24,55.823,24.0,19,0
FCFS,4,10,3,8.0,20.0,Small,16,34.653,13.0,19,0
FCFS,4,10,4,9.0,19.0,SUV,54,53.49,31.0,19,0
FCFS,4,10,5,9.0,20.0,Truck,70,45.561,37.0,19,0
FCFS,4,10,6,9.0,21.0,Small,16,41.616,16.0,19,0
FCFS,4,10,7,9.0,18.0,Small,16,39.284,15.0,19,0
FCFS,4,10,8,10.0,18.0,Sedan,24,18.141,8.0,19,0
FCFS,4,10,9,10.0,17.0,SUV,54,54.358,31.0,19,0
FCFS,4,10,10,11.0,18.0,Sedan,24,62.871,24,19,0
FCFS,5,10,1,6.0,21.0,SUV,54,31.362,18.0,4,0
FCFS,5,10,2,7.0,19.0,Sedan,24,32.976,14.0,4,0
FCFS,5,10,3,7.0,21.0,Small,16,42.409,16,8,0
FCFS,5,10,4,8.0,20.0,Small,16,10.688,4.0,8,0
FCFS,5,10,5,8.0,18.0,Sedan,24,71.965,24,8,0
FCFS,5,10,6,9.0,19.0,Truck,70,31.58,26.0,4,0
FCFS,5,10,7,9.0,19.0,Small,16,39.956,15.0,4,0
FCFS,5,10,8,10.0,20.0,Small,16,28.958,11.0,8,0
FCFS,5,10,9,10.0,19.0,Small,16,37.427,14.0,4,0
FCFS,5,10,10,10.0,18.0,Small,16,35.139,13.0,8,0
FCFS,6,10,1,6.0,18.0,Sedan,24,66.297,24,19,0
FCFS,6,10,2,7.0,20.0,SUV,54,37.013,21.0,8,0
FCFS,6,10,3,7.0,18.0,Sedan,24,47.995,21.0,19,0
FCFS,6,10,4,8.0,20.0,Sedan,24,15.817,7.0,19,0
FCFS,6,10,5,8.0,18.0,Sedan,24,58.043,24,8,0
FCFS,6,10,6,9.0,21.0,Sedan,24,35.872,15.0,19,0
FCFS,6,10,7,10.0,19.0,SUV,54,44.093,25.0,8,0
FCFS,6,10,8,11.0,18.0,Sedan,24,42.248,18.0,19,0
FCFS,6,10,9,12.0,20.0,Sedan,24,38.696,17.0,19,0
FCFS,6,10,10,13.0,17.0,Sedan,24,47.439,20.0,19,0
FCFS,7,10,1,6.0,21.0,Small,16,79.52,16,8,0
FCFS,7,10,2,8.0,23.0,Sedan,24,66.397,24,19,0
FCFS,7,10,3,8.0,18.0,Small,16,27.272,10.0,8,0
FCFS,7,10,4,8.0,21.0,Small,16,39.153,15.0,19,0
FCFS,7,10,5,8.0,19.0,Small,16,72.539,16,8,0
FCFS,7,10,6,9.0,19.0,SUV,54,11.567,7.0,8,0
FCFS,7,10,7,10.0,21.0,Truck,70,36.6,30.0,19,0
FCFS,7,10,8,10.0,18.0,SUV,54,40.711,23.0,8,0
FCFS,7,10,9,10.0,17.0,Sedan,24,31.16,13.0,19,0
FCFS,7,10,10,11.0,21.0,SUV,54,21.307,12.0,19,0
FCFS,8,10,1,8.0,17.0,SUV,54,24.168,14.0,19,0
FCFS,8,10,2,8.0,17.0,SUV,54,34.105,20.0,19,0
FCFS,8,10,3,8.0,24.0,Sedan,24,41.21,18.0,19,0
FCFS,8,10,4,8.0,20.0,Truck,70,49.466,40.0,19,0
FCFS,8,10,5,8.0,21.0,Sedan,24,41.408,18.0,19,0
FCFS,8,10,6,8.0,19.0,Sedan,24,51.348,22.0,19,0
FCFS,8,10,7,9.0,18.0,Truck,70,61.209,50.0,19,0
FCFS,8,10,8,9.0,18.0,Small,16,37.942,14.0,19,0
FCFS,8,10,9,9.0,17.0,Small,16,41.104,16.0,19,0
FCFS,8,10,10,11.0,20.0,Small,16,34.071,13.0,19,0
FCFS,9,10,1,6.0,18.0,Small,16,28.499,11.0,8,0
FCFS,9,10,2,7.0,20.0,SUV,54,24.144,14.0,8,0
FCFS,9,10,3,7.0,19.0,Small,16,38.456,15.0,8,0
FCFS,9,10,4,8.0,18.0,Small,16,11.281,4.0,8,0
FCFS,9,10,5,9.0,21.0,Truck,70,16.542,14.0,8,0
FCFS,9,10,6,9.0,21.0,Truck,70,46.093,38.0,8,0
FCFS,9,10,7,10.0,19.0,SUV,54,20.406,12.0,8,0
FCFS,9,10,8,10.0,20.0,Sedan,24,31.292,13.0,8,0
FCFS,9,10,9,10.0,20.0,Small,16,20.073,8.0,8,0
