number_of_EVs,Levels,Count
10,Level 1,0.0
15,Level 1,0.07407407407407407
20,Level 1,0.29064039408866993
25,Level 1,0.08375
30,Level 1,0.009900990099009901
35,Level 1,0.08059023836549375
40,Level 1,0.1470019342359768
45,Level 1,0.01001669449081803
50,Level 1,0.017227235438884332
55,Level 1,0.0755287009063444
60,Level 1,0.07963800904977375
10,Level 2,0.0
15,Level 2,0.0
20,Level 2,0.0451559934318555
25,Level 2,0.2875
30,Level 2,0.15346534653465346
35,Level 2,0.0170261066969353
40,Level 2,0.06286266924564797
45,Level 2,0.015025041736227046
50,Level 2,0.04019688269073011
55,Level 2,0.03625377643504532
60,Level 2,0.0579185520361991
10,Level 3,1.0
15,Level 3,0.9259259259259259
20,Level 3,0.6642036124794746
25,Level 3,0.62875
30,Level 3,0.8366336633663366
35,Level 3,0.9023836549375709
40,Level 3,0.7901353965183753
45,Level 3,0.9749582637729549
50,Level 3,0.9425758818703855
55,Level 3,0.8882175226586103
60,Level 3,0.8624434389140272
