Model,Number_of_EVs,Delay
CC_NoDelay,10,0.0
CC_NoDelay,15,0.0
CC_NoDelay,20,0.0
CC_NoDelay,25,0.0
CC_NoDelay,30,0.0
CC_NoDelay,35,0.0
CC_NoDelay,40,0.0
CC_NoDelay,45,0.0
CC_NoDelay,50,0.0
CC_NoDelay,55,0.0
CC_NoDelay,60,0.0
CC_OneSlotDelay,10,1.83
CC_OneSlotDelay,15,2.805
CC_OneSlotDelay,20,3.8075
CC_OneSlotDelay,25,4.955
CC_OneSlotDelay,30,6.0
CC_OneSlotDelay,35,7.0
CC_OneSlotDelay,40,8.0
CC_OneSlotDelay,45,8.995
CC_OneSlotDelay,50,10.0
CC_OneSlotDelay,55,11.0
CC_OneSlotDelay,60,11.96
