location,Athens,Athens,Athens,Athens
lat,37.9859,37.9859,37.9859,37.9859
lon,23.7506,23.7506,23.7506,23.7506
asl,201.919,201.919,201.919,201.919
variable,Temperature,Relative Humidity,Wind Speed,Wind Direction
unit,°C,%,km/h,°
level,2 m elevation corrected,2 m,10 m,10 m
resolution,hourly,hourly,hourly,hourly
aggregation,None,None,None,None
timestamp,Athens Temperature [2 m elevation corrected],Athens Relative Humidity [2 m],Athens Wind Speed [10 m],Athens Wind Direction [10 m]
20201208T1000,12.247477,75,6.638072,229.39871
20201208T1100,13.527476,72,8.669949,228.36647
20201208T1200,15.247477,60,10.685391,237.38075
20201208T1300,16.367476,51,14.973576,260.31122
20201208T1400,16.437475,49,18.0036,258.4654
20201208T1500,16.477476,51,11.503113,249.86371
20201208T1600,15.867476,56,9.793059,233.97263
20201208T1700,14.857476,61,7.5170207,196.69925
20201208T1800,14.277476,64,7.628263,199.29004
20201208T1900,13.977476,71,6.830519,198.43495
20201208T2000,14.197476,72,6.725354,195.52411
20201208T2100,14.527476,73,6.151683,200.55605
20201208T2200,14.787477,73,7.10031,210.46555
20201208T2300,14.747477,75,7.42159,219.09386
20201209T0000,14.107476,80,5.6233797,230.19443
20201209T0100,13.987476,81,5.6233797,219.80557
20201209T0200,14.057476,81,6.28713,203.62938
20201209T0300,14.117476,77,5.4119864,176.18593
20201209T0400,14.197476,76,8.209263,195.25513
20201209T0500,14.137476,77,11.043261,199.0256
20201209T0600,13.3274765,85,13.358861,194.03624
20201209T0700,12.927476,89,13.207634,197.44719
20201209T0800,12.807476,92,14.345898,197.52557
20201209T0900,14.497477,84,17.76081,197.70042
20201209T1000,15.807476,71,23.143827,195.33328
20201209T1100,16.287476,71,26.368616,194.22597
20201209T1200,16.607475,71,27.607563,192.04257
20201209T1300,16.947475,70,29.070974,187.82907
20201209T1400,16.567476,71,29.660152,185.5722
20201209T1500,16.937475,70,32.59939,186.3402
20201209T1600,16.847475,72,34.471764,187.19923
20201209T1700,16.467476,75,34.68166,189.5601
20201209T1800,16.267475,75,34.62369,188.97263
20201209T1900,16.247477,75,34.162083,187.87393
20201209T2000,16.227476,76,34.114628,187.27501
20201209T2100,16.247477,76,34.428497,186.60483
20201209T2200,16.267475,75,33.71338,186.74557
20201209T2300,16.257475,75,33.50128,188.65254
20201210T0000,16.227476,73,33.74796,191.0702
20201210T0100,16.137476,73,32.908016,190.0806
20201210T0200,16.087475,72,34.32671,189.6599
20201210T0300,16.117476,72,33.40055,187.43141
20201210T0400,16.107475,74,36.302925,187.4069
20201210T0500,16.087475,71,37.648838,186.03769
20201210T0600,16.007475,69,36.537785,185.65442
20201210T0700,15.857476,70,37.191677,184.44124
20201210T0800,15.957477,70,37.14286,183.33385
20201210T0900,16.317476,69,38.221085,183.2397
20201210T1000,16.577477,67,39.98594,182.06381
20201210T1100,16.627476,66,39.961617,190.90503
20201210T1200,15.687476,70,29.714724,199.09349
20201210T1300,15.557476,71,31.667723,188.49857
20201210T1400,13.187476,95,25.35637,218.65982
20201210T1500,12.3274765,85,24.48,180
20201210T1600,13.257476,76,23.828083,184.33232
20201210T1700,13.487476,75,24.023088,199.24953
20201210T1800,13.5774765,80,21.261345,241.69925
20201210T1900,11.067476,93,20.188908,266.93353
20201210T2000,11.017476,93,14.05845,256.67548
20201210T2100,11.357476,90,18.25026,247.98871
20201210T2200,11.107476,90,18.388212,246.9487
20201210T2300,10.687476,93,15.646544,246.97452
20201211T0000,10.527476,94,15.175612,247.69379
20201211T0100,10.387476,92,14.003029,252.03087
20201211T0200,10.097476,92,10.931203,252.75854
20201211T0300,10.477476,87,9.565437,250.20113
20201211T0400,10.597476,84,12.429127,259.992
20201211T0500,9.997477,82,10.464798,266.0548
20201211T0600,10.007476,75,7.2805495,261.46924
20201211T0700,10.037477,75,5.6920996,251.56506
20201211T0800,10.277476,80,6.4096174,231.84277
20201211T0900,11.427476,80,7.386582,226.97495
20201211T1000,12.777476,70,9.422101,223.45184
20201211T1100,13.647476,66,11.304229,217.23483
20201211T1200,14.527476,64,12.10157,210.37914
20201211T1300,15.357476,61,14.241629,196.14435
20201211T1400,15.837476,64,16.62249,184.96974
20201211T1500,15.697476,66,20.633371,186.009
20201211T1600,15.007476,74,23.444265,183.52145
20201211T1700,14.457477,76,22.68,180
20201211T1800,13.507476,88,23.0653,177.31622
20201211T1900,12.307476,88,23.042812,180.89517
20201211T2000,12.957477,88,22.033648,175.3141
20201211T2100,13.027476,89,20.545246,168.88696
20201211T2200,13.337476,88,20.49156,161.56505
20201211T2300,13.737476,88,26.576681,151.69923
20201212T0000,13.757476,89,31.018547,158.1986
20201212T0100,13.887476,90,34.979332,171.11934
20201212T0200,14.027476,92,36.932915,169.89496
20201212T0300,13.837476,96,31.212229,187.28896
20201212T0400,13.967476,94,19.855558,202.38013
20201212T0500,13.087476,94,14.973577,242.8189
20201212T0600,11.647476,96,11.770403,246.57132
20201212T0700,11.297476,92,7.386582,226.97495
20201212T0800,11.677476,88,6.763786,205.20113
20201212T0900,12.587476,86,7.7879906,213.69006
20201212T1000,13.937476,85,9.904906,199.09349
20201212T1100,15.167477,75,14.168641,207.21611
20201212T1200,15.747477,73,14.84318,202.83365
20201212T1300,16.467476,68,13.627795,192.20047
20201212T1400,16.727476,71,15.328561,189.46233
20201212T1500,16.637476,70,14.118243,199.359
20201212T1600,16.287476,72,12.57426,193.24052
20201212T1700,15.507476,75,10.495713,185.90614
20201212T1800,15.367476,76,11.792404,192.33908
20201212T1900,15.007476,79,13.397612,186.17018
20201212T2000,15.0774765,86,20.991426,185.90614
20201212T2100,14.447476,89,20.969805,191.88866
20201212T2200,14.427476,90,20.724247,197.1759
20201212T2300,14.187476,93,20.60823,199.38452
20201213T0000,13.947476,94,17.992796,199.88516
20201213T0100,13.667477,96,15.2947035,206.56505
20201213T0200,13.367476,95,1.835647,258.69006
20201213T0300,13.297476,93,4.452954,75.96376
20201213T0400,13.117476,92,11.525623,38.659805
20201213T0500,12.897476,89,9.531505,10.885529
20201213T0600,12.717476,89,6.9247384,27.897263
20201213T0700,12.817476,90,3.396233,57.994614
20201213T0800,13.037477,89,0.71999997,89.99999
20201213T0900,13.607476,85,0.35999998,360
20201213T1000,14.297476,79,1.1384199,71.56504
20201213T1100,15.147476,75,0.71999997,180
20201213T1200,15.477476,75,1.08,270
20201213T1300,16.007475,74,1.484318,14.03624
20201213T1400,15.957477,74,3.0547013,44.999985
20201213T1500,15.997477,74,7.42159,39.09384
20201213T1600,15.637476,74,10.97262,48.990906
20201213T1700,14.457477,81,11.753877,62.65013
20201213T1800,14.137476,86,16.199999,36.86989
20201213T1900,13.837476,88,19.08,31.890793
20201213T2000,13.547476,89,18.678415,27.552795
20201213T2100,13.537477,89,16.267857,24.863693
20201213T2200,13.417477,89,16.1198,23.702637
20201213T2300,13.277476,89,20.345573,13.298553
