3,2,1
1.0,1.0,1.0
2.0,2.0,2.0
3.0,3.0,3.0
4.0,4.0,4.0
5.0,5.0,5.0
6.0,6.0,6.0
7.0,7.0,7.0
8.0,8.0,8.0
9.0,9.0,9.0
10.0,10.0,10.0
11.0,11.0,11.0
12.0,12.0,12.0
13.0,13.0,13.0
14.0,14.0,10.0
15.0,15.0,11.0
16.0,16.0,14.0
15.0,13.0,15.0
16.0,17.0,16.0
15.0,18.0,17.0
16.0,19.0,18.0
15.0,20.0,17.0
16.0,21.0,19.0
15.0,22.0,17.0
16.0,23.0,19.0
15.0,24.0,20.0
16.0,19.0,21.0
15.0,25.0,22.0
16.0,26.0,14.0
15.0,27.0,17.0
16.0,26.0,14.0
15.0,25.0,23.0
17.0,19.0,14.0
18.0,11.0,24.0
16.0,26.0,25.0
18.0,28.0,17.0
19.0,29.0,18.0
20.0,28.0,26.0
21.0,30.0,27.0
20.0,31.0,20.0
19.0,19.0,28.0
20.0,25.0,29.0
21.0,32.0,21.0
15.0,13.0,29.0
16.0,26.0,21.0
15.0,11.0,23.0
16.0,26.0,14.0
15.0,11.0,30.0
21.0,32.0,21.0
15.0,11.0,23.0
19.0,26.0,19.0
15.0,25.0,20.0
21.0,12.0,28.0
15.0,33.0,31.0
16.0,34.0,14.0
22.0,35.0,32.0
23.0,36.0,33.0
24.0,27.0,17.0
25.0,12.0,14.0
26.0,37.0,15.0
27.0,38.0,14.0
26.0,39.0,22.0
25.0,16.0,25.0
28.0,40.0,24.0
27.0,41.0,25.0
26.0,25.0,26.0
23.0,34.0,34.0
26.0,25.0,22.0
27.0,34.0,35.0
24.0,25.0,36.0
27.0,26.0,14.0
26.0,25.0,37.0
25.0,34.0,38.0
28.0,11.0,39.0
27.0,42.0,40.0
26.0,25.0,23.0
27.0,43.0,14.0
26.0,44.0,22.0
25.0,41.0,14.0
28.0,27.0,17.0
25.0,45.0,41.0
28.0,46.0,23.0
25.0,45.0,14.0
28.0,47.0,31.0
23.0,48.0,41.0
24.0,37.0,22.0
29.0,38.0,14.0
28.0,46.0,17.0
25.0,45.0,14.0
24.0,49.0,20.0
27.0,34.0,28.0
26.0,50.0,17.0
25.0,36.0,41.0
28.0,33.0,39.0
27.0,12.0,28.0
28.0,50.0,23.0
25.0,26.0,35.0
28.0,49.0,17.0
25.0,51.0,25.0
30.0,37.0,29.0
25.0,17.0,28.0
28.0,50.0,24.0
25.0,36.0,25.0
28.0,50.0,29.0
25.0,51.0,35.0
28.0,50.0,17.0
27.0,51.0,25.0
28.0,50.0,17.0
25.0,52.0,25.0
31.0,50.0,23.0
25.0,51.0,25.0
32.0,46.0,17.0
33.0,51.0,28.0
28.0,50.0,24.0
25.0,51.0,42.0
28.0,50.0,29.0
33.0,36.0,40.0
28.0,53.0,43.0
27.0,54.0,14.0
28.0,50.0,31.0
25.0,51.0,14.0
28.0,50.0,17.0
25.0,51.0,28.0
28.0,50.0,17.0
33.0,51.0,14.0
28.0,50.0,44.0
25.0,51.0,28.0
32.0,50.0,17.0
25.0,51.0,27.0
28.0,50.0,17.0
25.0,51.0,45.0
32.0,50.0,46.0
25.0,51.0,41.0
28.0,50.0,31.0
25.0,36.0,47.0
32.0,50.0,17.0
25.0,51.0,28.0
28.0,37.0,46.0
25.0,51.0,28.0
28.0,50.0,17.0
25.0,45.0,28.0
32.0,50.0,20.0
25.0,51.0,28.0
28.0,50.0,39.0
25.0,51.0,14.0
28.0,50.0,24.0
25.0,51.0,38.0
32.0,40.0,39.0
33.0,51.0,45.0
32.0,50.0,48.0
33.0,41.0,38.0
32.0,50.0,39.0
33.0,55.0,38.0
32.0,56.0,39.0
33.0,17.0,47.0
32.0,50.0,37.0
33.0,51.0,40.0
32.0,50.0,22.0
33.0,51.0,49.0
32.0,50.0,26.0
33.0,51.0,47.0
32.0,50.0,17.0
33.0,51.0,49.0
28.0,40.0,37.0
25.0,41.0,18.0
28.0,50.0,22.0
25.0,45.0,28.0
32.0,50.0,31.0
