"DAs_load
E_DAs_L","DAs_generation
E_DAs_G","DAs_demand_bid
b_t","DAs_supply_offer
o_t",EVs_Charge,EVs_Discharge,TCL_Power,SL_Power,Inflexible_loads,Gen1,Gen2,Gen3,Gen4,CDA1_supply,CDA2_supply,CDA1_demand,CDA2_demand,Bus1_price,Bus2_price,Bus3_price,Bus4_price,Bus5_price,Bus6_price,Theta_bus_1,Theta_bus_2,Theta_bus_3,Theta_bus_4,Theta_bus_5,Theta_bus_6
0.579052068,0,0,0,0,0,0.005861036,0.042268,17.323433,3.313052068,0,0,0,0,0,1.367,1.367,12,12,12,12,12,12,0.39416341,0.080263202,0.024051745,0.015792541,0,0.02131166
0.995875053,0,0,0,0,0,0.027223596,0.195624,29.653404,3.095875053,0,0,0,0,0,1.067,1.033,12,12,12,12,12,12,0.385171552,0.095382233,0.045295865,0.026240086,0,0.040135553
1.298249631,0,0,0,0,0,0.060769945,0.22519,38.661529,4.031249631,0,0,0,0,0,1.133,1.6,12,12,12,12,12,12,0.508219125,0.138167319,0.077984068,0.029773075,0,0.069099766
1.416719712,0,0,0,0.061258065,0,0.126378288,0.386062,41.927893,2.183719712,0,0,0,1.33E-15,0,0,0.767,12,12,12,12,12,12,0.309072779,0.122239633,0.099045326,0.029224375,0,0.087761629
1.369892889,0,0,0,0.009,0,0.172756681,0.24047,40.67456,2.502892889,0,0,0,0,0,0,1.133,12,12,12,12,12,12,0.347882307,0.13511352,0.109476463,0.02504903,0,0.097004403
1.361980469,0,0,0,0.021,0,0.240723076,0,40.597691,3.828980469,0,0,0,0,0,1.167,1.3,12,12,12,12,12,12,0.483598045,0.128830109,0.069399241,0.034141503,0,0.061492962
1.353494933,0,0,0,0.062225806,0,0.264116187,0.252774,40.025732,3.720494933,0,0,0,0,0,1.367,1,12,12,12,12,12,12,0.464618253,0.113101905,0.050659482,0.03821599,0,0.044888122
1.14935521,0,0,0,0.215086022,0,0.217540292,0,34.04803,3.71635521,0,0,0,0,0,0.9,1.667,12,12,12,12,12,12,0.47107035,0.134296173,0.08183267,0.023362716,0,0.072509918
0.729027858,0,0,0,0.195193548,0,0.155642178,0,21.52,1.562027858,0,0,0,0,0,0.833,0,12,12,12,12,12,12,0.192391464,0.036562669,0.004652194,0.025884613,0,0.004122194
0.27725311,0,0,0,1.268086022,0,0.025280286,0,7.024227,1.67725311,0,0,0,8.88E-16,0,0,1.4,12,12,12,12,12,12,0.221593542,0.082474044,0.067684757,0,0.004530911,0.060489982
0.290021423,0,0,0,1.037752688,0,0,0,7.66289,0.290021423,0,0,0,2.78E-16,0,0,0,12,12,12,12,12,12,0.04360176,0.018237868,0.014777331,0.007270267,0,0.01309383
0.25254178,0,0,0,0.542591398,0,0,0,7.033662,1.78654178,0,0,0,0,0,0.867,0.667,12,12,12,12,12,12,0.207692074,0.035048033,0.002405649,0.008780703,0,0.002131587
0.269535171,0,0,0,1.277516129,0,0,0,6.808539,1.302535171,0,0,0,6.66E-16,0,0,1.033,12,12,12,12,12,12,0.17164228,0.063310698,0.051623191,0,0.001714696,0.045937387
0.275308891,0,0,0,0.622924731,0,0,0.847048,6.789294,1.775308891,0,0,0,0,0,1.5,0,12,12,12,12,12,12,0.234954996,0.045082789,0,0.065087964,0.044484258,0.00506785
0.301513933,0,0,0,1.129913978,0,0,0.452278,7.463226,2.368513933,0,0,0,0,0,0.867,1.2,12,12,12,12,12,12,0.281824383,0.061163959,0.02356622,0.00563732,0,0.020881448
0.390953236,0,0,0,0.160344086,0,0,0.48825,11.080003,2.823953236,0,0,0,0,0,0.833,1.6,20,20,20,20,20,20,0.342000205,0.08445522,0.043457392,0.004288488,0,0.038506527
0.750293948,0,0,0,0.215763441,0,0,0.252668,22.040387,3.117293948,0,0,0,0,0,1.4,0.967,12,12,12,12,12,12,0.373078955,0.073375905,0.017481952,0.023667003,0,0.015490328
0.840452554,0,0,0,0.025451613,0,0,0.005402,25.182723,2.240452554,0,0,0,0,0,0,1.4,12,12,12,12,12,12,0.301733917,0.113359678,0.091850294,0.009587392,0,0.081386288
0.707344167,0,0,0,0.006,0,0,0,21.214325,2.241344167,0,0,0,0,0,0.667,0.867,12,12,12,12,12,12,0.281243873,0.074520659,0.040384455,0.016714581,0,0.035783673
0.577064967,0,0,0,0,0,0,0.226694,17.085255,2.311064967,0,0,0,0,0,0.667,1.067,12,12,12,12,12,12,0.286712076,0.074972137,0.040750267,0.01180858,0,0.036107811
0.516420067,0,0,0,0,0,0,0,15.492602,3.016420067,0,0,0,0,0,0.933,1.567,12,12,12,12,12,12,0.366667618,0.089804604,0.044793812,0.008617804,0,0.039690696
0.531403333,0,0,0,0,0,0,0,15.9421,3.531403333,0,0,0,0,0,1.467,1.533,20,20,20,20,20,20,0.417733744,0.0833271,0.023536336,0.014150234,0,0.020854969
0.550656967,0,0,0,0,0,0,0.01412,16.505589,2.917656967,0,0,0,0,0,0.767,1.6,12,12,12,12,12,12,0.359450472,0.09523354,0.054169231,0.007689047,0,0.047998024
0.514580867,0,0,0,0,0,0,0,15.437426,2.147580867,0,0,0,0,0,0,1.633,12,12,12,12,12,12,0.282423109,0.103430029,0.083898164,0,0.000492354,0.074396192
