F_min_DAo,F_max_DAo,F_min_DAb,F_max_DAb,F_min_g_1,F_max_g_1,F_min_g_2,F_max_g_2,F_min_g_3,F_max_g_3,F_min_g_4,F_max_g_4,F_min_do_1,F_max_do_1,F_min_do_2,F_max_do_2,F_min_db_1,F_max_db_1,F_min_db_2,F_max_db_2,F_min_l_1,F_max_l_1,F_min_l_2,F_max_l_2,F_min_l_3,F_max_l_3,F_min_l_4,F_max_l_4,F_min_l_5,F_max_l_5,F_min_l_6,F_max_l_6,F_min_l_7,F_max_l_7
6.0,0.0,0.0,90.0,0.0,0.0,8.0,0.0,38.0,0.0,88.0,0.0,10000.0,9990.0,10000.0,9975.0,0.0,75.0,0.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,0.0,0.0,72.0,0.0,0.0,8.000000000000002,0.0,38.0,0.0,88.0,0.0,10000.0,9989.0,10000.0,9976.0,0.0,72.0,0.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,0.0,0.0,89.0,0.0,0.0,8.0,0.0,38.0,0.0,88.0,0.0,10000.0,9989.0,10000.0,9979.0,0.0,70.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10000.0,9995.0,0.0,76.0,0.0,0.0,8.000000000000002,0.0,38.0,0.0,88.0,0.0,5.0,0.0,10000.0,9978.0,0.0,80.0,0.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10000.0,9999.0,0.0,77.0,0.0,0.0,8.0,0.0,38.0,0.0,88.0,0.0,14.0,0.0,10000.0,9992.0,0.0,65.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10000.0,9996.0,0.0,73.0,0.0,0.0,8.000000000000002,0.0,38.0,0.0,88.0,0.0,10000.0,9995.0,10000.0,9972.0,0.0,92.0,0.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,0.0,0.0,62.0,0.0,0.0,8.000000000000002,0.0,38.0,0.0,88.0,0.0,10000.0,9992.0,10000.0,9978.0,0.0,66.0,0.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10000.0,9994.0,0.0,98.0,0.0,0.0,8.000000000000002,0.0,38.0,0.0,88.0,0.0,10000.0,9993.0,10000.0,9983.0,0.0,85.0,0.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10000.0,9995.0,0.0,89.0,0.0,0.0,8.000000000000002,0.0,38.0,0.0,88.0,0.0,10000.0,9982.0,22.0,0.0,0.0,90.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10000.0,9993.0,0.0,98.0,0.0,0.0,8.0,0.0,38.0,0.0,88.0,0.0,17.0,0.0,10000.0,9983.0,0.0,58.0,0.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,0.0,0.0,85.0,0.0,0.0,8.000000000000002,0.0,38.0,0.0,88.0,0.0,7.0,0.0,13.999999999999998,0.0,0.0,89.0,0.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,0.0,0.0,98.0,0.0,0.0,8.000000000000002,0.0,38.0,0.0,88.0,0.0,10000.0,9991.0,10000.0,9985.0,0.0,67.0,0.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10000.0,9998.0,0.0,81.0,0.0,0.0,8.0,0.0,38.0,0.0,88.0,0.0,7.0,0.0,10000.0,9990.0,0.0,81.0,0.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
