Model,scenario,obj_value,Installation_cost,load_price,number_of_EVs,Demand,AvailabeType_4,InstalledType_4,AvailabeType_8,InstalledType_8,AvailabeType_19,InstalledType_19,Time
CC_OneSlotDelay,1,2200.1090041,2200.0,0.1090041000002202,10,167,3,0,2,0,2,1,13.807796716690063
CC_OneSlotDelay,2,2200.1106804,2200.0,0.11068040000009205,10,169,3,0,2,0,2,1,2.1272361278533936
CC_OneSlotDelay,3,2200.1454579,2200.0,0.14545790000011039,10,216,4,0,3,0,2,1,1.3951969146728516
CC_OneSlotDelay,4,2200.1301387,2200.0,0.13013869999986127,10,197,4,0,3,0,2,1,1.34785795211792
CC_OneSlotDelay,5,2200.1195618,2200.0,0.11956180000015593,10,182,3,0,2,0,2,1,14.290049314498901
CC_OneSlotDelay,6,2200.1112795,2200.0,0.1112794999999096,10,169,3,0,2,0,2,1,3.0799803733825684
CC_OneSlotDelay,7,2200.1015067,2200.0,0.1015066999998453,10,155,3,0,2,0,2,1,14.930012226104736
CC_OneSlotDelay,8,2200.1088468,2200.0,0.10884679999981017,10,166,3,0,2,0,2,1,14.039624452590942
CC_OneSlotDelay,9,2200.1537427,2200.0,0.1537426999998388,10,225,4,0,3,0,2,1,1.2175214290618896
CC_OneSlotDelay,10,2200.0945271,2200.0,0.09452710000005027,10,145,3,0,2,0,2,1,11.502811431884766
CC_OneSlotDelay,11,2200.1153484,2200.0,0.11534840000012991,10,175,3,0,2,0,2,1,12.950129747390747
CC_OneSlotDelay,12,2200.1394858,2200.0,0.13948579999987487,10,210,4,0,3,0,2,1,21.06563663482666
CC_OneSlotDelay,13,2200.1216959,2200.0,0.12169589999984964,10,185,3,0,2,0,2,1,3.225964069366455
CC_OneSlotDelay,14,2200.0967822,2200.0,0.09678219999977955,10,149,3,0,2,0,2,1,26.776099681854248
CC_OneSlotDelay,15,2200.1070243,2200.0,0.10702429999992091,10,163,3,0,2,0,2,1,10.662668704986572
CC_OneSlotDelay,16,2200.1166792,2200.0,0.11667919999990772,10,177,3,0,2,0,2,1,5.801877975463867
CC_OneSlotDelay,17,2200.1107083,2200.0,0.1107083000001694,10,168,3,0,2,0,2,1,7.0531861782073975
CC_OneSlotDelay,18,2200.1078677,2200.0,0.10786770000004253,10,165,3,0,2,0,2,1,11.849581003189087
CC_OneSlotDelay,19,2200.1090041,2200.0,0.1090041000002202,10,167,3,0,2,0,2,1,14.514410495758057
CC_OneSlotDelay,20,2200.1106804,2200.0,0.11068040000009205,10,169,3,0,2,0,2,1,1.7034401893615723
CC_OneSlotDelay,21,2200.1454579,2200.0,0.14545790000011039,10,216,4,0,3,0,2,1,1.5520739555358887
CC_OneSlotDelay,22,2200.1301387,2200.0,0.13013869999986127,10,197,4,0,3,0,2,1,1.4217777252197266
CC_OneSlotDelay,23,2200.1195618,2200.0,0.11956180000015593,10,182,3,0,2,0,2,1,13.504281759262085
CC_OneSlotDelay,24,2200.1112795,2200.0,0.1112794999999096,10,169,3,0,2,0,2,1,2.854607105255127
CC_OneSlotDelay,25,2200.1015067,2200.0,0.1015066999998453,10,155,3,0,2,0,2,1,13.570138931274414
CC_OneSlotDelay,26,2200.1088468,2200.0,0.10884679999981017,10,166,3,0,2,0,2,1,12.985537767410278
CC_OneSlotDelay,27,2200.1537427,2200.0,0.1537426999998388,10,225,4,0,3,0,2,1,1.2924015522003174
CC_OneSlotDelay,28,2200.0945271,2200.0,0.09452710000005027,10,145,3,0,2,0,2,1,12.000330448150635
CC_OneSlotDelay,29,2200.1153484,2200.0,0.11534840000012991,10,175,3,0,2,0,2,1,12.264733076095581
CC_OneSlotDelay,30,2200.1394858,2200.0,0.13948579999987487,10,210,4,0,3,0,2,1,20.751522302627563
CC_OneSlotDelay,31,2200.1216959,2200.0,0.12169589999984964,10,185,3,0,2,0,2,1,3.5701522827148438
CC_OneSlotDelay,32,2200.0967822,2200.0,0.09678219999977955,10,149,3,0,2,0,2,1,24.424663066864014
CC_OneSlotDelay,33,2200.1070243,2200.0,0.10702429999992091,10,163,3,0,2,0,2,1,10.405795097351074
CC_OneSlotDelay,34,2200.1166792,2200.0,0.11667919999990772,10,177,3,0,2,0,2,1,5.858307123184204
CC_OneSlotDelay,35,2200.1107083,2200.0,0.1107083000001694,10,168,3,0,2,0,2,1,7.098258018493652
CC_OneSlotDelay,36,2200.1078677,2200.0,0.10786770000004253,10,165,3,0,2,0,2,1,11.968446493148804
CC_OneSlotDelay,37,2200.1090041,2200.0,0.1090041000002202,10,167,3,0,2,0,2,1,14.152588129043579
CC_OneSlotDelay,38,2200.1106804,2200.0,0.11068040000009205,10,169,3,0,2,0,2,1,1.677025318145752
