1,2,3,4,5,6,7,8,9
102.36122091148059,87.57737315518787,97.28684089498954,87.56087437953784,106.85085054366162,83.29376579619581,105.59207736259226,82.33621870674484,96.10924355036349
85.57485151471005,45.97370773088415,66.30924714670712,-12.880809050142048,76.23136178987356,-19.416958445965335,63.40380138522743,-11.529214594312265,34.98717598350859
56.03528982605171,24.323900166023112,44.74943337740835,-73.32841375513844,32.27087740549776,-83.86737085077313,41.67611988904901,-48.80987504569478,8.220362752571761
18.577979529910998,-55.97966506544343,-22.38786131745812,-180.83985085405186,-31.470921412132363,-188.05582279389367,-4.893678649247496,-140.1712534436951,-62.3921525313572
-8.720745118593607,-76.94413769412382,-37.15099525325769,-257.7379207961685,-92.70339341603409,-270.1031605558808,-58.22350750621492,-229.24602531455173,-119.33037408350742
-4.020455084290563,-81.51802814737418,-44.74478966180331,-253.84529342727822,-64.16967738167861,-266.05352385784727,-34.55441105547262,-205.6318937311296,-107.86146489544296
-20.10805313711643,-128.11244357782445,-87.5221427159247,-315.20256265987405,-102.8450131691132,-323.2784200985007,-84.56828253855147,-276.28772666467154,-148.6055232740031
-25.4040613828683,-105.24529334832098,-66.21534609877993,-281.828646533577,-85.47873250052167,-302.1310073017413,-66.57926651814472,-253.12955146982034,-135.37120567017772
-21.380875520683954,-125.70738607581305,-86.51505739045314,-323.4840246514519,-100.27262949146622,-338.9772350314607,-84.88329234545276,-285.1501917829698,-148.110433247251
-39.251143600736135,-103.78359517182318,-73.4635542459387,-283.58252467234604,-87.3964265807519,-299.15769808649173,-66.62322870185585,-258.32843476193887,-133.3374574903512
-33.94158067392192,-117.96112681996013,-77.80828002818333,-320.4447559940731,-99.13730965441579,-333.61806068640635,-80.92538744079539,-280.99893260957424,-147.61748298032643
-38.89601611107255,-117.40802126248651,-84.40516949436972,-278.60642266902005,-84.0396563955861,-289.0686174288949,-66.93473826051459,-256.96253578113993,-136.47745064456177
-33.64278565847423,-118.94368956908144,-77.61578938890865,-322.9285921838652,-100.49312635104468,-332.9459593352564,-82.16246679710635,-279.2228902912439,-146.09114503176914
-39.981726663382034,-119.74318800025462,-87.6572778316723,-288.6375883576817,-89.82062832740966,-305.6124697531726,-74.37066790059902,-263.7762885544487,-141.13895350783216
-34.61461326637486,-121.77906473122172,-79.29981155046079,-324.3416777367535,-100.36742171233603,-338.7296403299804,-81.71314182684615,-282.4471251344554,-146.50822257720773
-41.751885620619134,-118.26689316287136,-83.13080982946869,-288.29940999888566,-90.87080007664082,-305.6124693237866,-74.37066986673393,-256.8899216410758,-136.59596103864658
-35.409537681138204,-121.06330546344708,-79.60359990071099,-319.5319810350424,-99.71511230904677,-332.5453394293398,-82.14710289744919,-281.8697424466742,-146.17552357448108
-42.16396161795253,-120.69525078676493,-88.51949983062929,-291.99741886914506,-91.66322007088193,-307.6914067251344,-74.3518988668753,-257.1012619906204,-138.28280023394544
-35.49520516772635,-121.11600973508067,-79.07109738818183,-324.53833844692934,-99.4709619780104,-336.479792701056,-81.9497879733685,-284.76099675421233,-147.0292052314733
-43.740129653150206,-119.76452894473246,-89.80849762879905,-288.1884758118516,-90.75532234360115,-305.4851295309686,-74.33883757698622,-255.69806828454057,-137.0950985435394
-33.9963737319141,-119.38493719859662,-77.29778245258483,-320.66629747185726,-99.58583468873715,-333.1999590177131,-82.19572548451524,-279.84020850682924,-146.42312478064363
-43.928726375365784,-121.93950718055498,-88.5734127875143,-288.186040352354,-90.75532515271037,-305.61246932378464,-74.37066789843334,-256.8734839247004,-138.2827974940275
-35.00486805609434,-120.36392868323955,-79.14269052567239,-319.21389360390174,-100.29967266621156,-332.34249859752344,-81.88862416118134,-282.01550254562045,-146.5003820362913
-42.41762919066725,-121.27181115217441,-88.51465458037835,-288.1390426824161,-91.57754839937414,-305.3164661399869,-74.37066944426796,-256.9194436779472,-138.16862644320966
-34.456378497919424,-117.32021871584439,-87.90964533229901,-325.8855580971113,-99.96035676048733,-337.0898137569402,-82.15319726346405,-282.64577196267106,-146.95152720663222
-43.9509257520296,-119.43677064971767,-87.56790283508263,-289.7847313576855,-90.75532615883039,-307.66179922432485,-74.37066789843887,-256.904609302644,-138.28279749394193
-35.18833609296276,-120.04107987513282,-78.6606348403521,-321.75186836878163,-99.2850198099813,-338.41561855589896,-82.05456761453999,-281.99257145587177,-148.55475205599376
-43.795878639833255,-119.12562648318337,-89.68766511788809,-288.1884758118446,-90.75532235838318,-305.54966599045343,-74.37066905149611,-256.88963327465837,-136.59595836859904
-33.21167540483249,-119.39405271485997,-78.47054027837143,-319.45301014281944,-99.29070828315938,-332.44493871225393,-82.14568775473316,-279.77225927541826,-146.18213330807058
-42.16396162809231,-115.50773249272748,-88.49709779045702,-291.4616520446685,-91.66047234359802,-305.5677577386197,-74.3706688359325,-258.14590545171643,-138.038849493956
-33.755703365276005,-118.24807544086764,-77.23435771850886,-323.5625506762567,-99.6770814766469,-338.07497990742667,-82.281694695255,-282.00090717637556,-146.67490385442744
-43.44234598701083,-117.92660884001623,-87.30785503517147,-292.09693764603566,-89.19581525605456,-306.1997456209514,-74.34490233871414,-256.8703178115592,-141.50406885212885
-33.569432030542096,-118.65384565379132,-77.99719260515025,-320.10942043062494,-99.894610769904,-332.0560082700728,-82.32627331749796,-280.0926907724544,-146.88890590325977
-48.054763145305955,-129.44679125387538,-94.03901392322405,-289.4565393280438,-93.67993614409464,-308.58692733334266,-77.4174160146819,-258.7333039806555,-138.7181705347247
-30.720739444579735,-118.68579964507657,-76.06397340302043,-318.11643195766334,-96.46189454267873,-328.62734080060824,-78.97319503591376,-279.35785783333483,-142.6950837952654
-40.92932252186866,-128.813324373156,-95.12546337605757,-292.37698358340344,-95.76069469293547,-309.25443451773685,-77.1037589357752,-260.4582238947888,-146.8493618342558
-37.03397886604104,-121.31405319001759,-82.10666300781573,-309.72336205413285,-102.10400861749703,-321.94329446575324,-85.25942343283543,-284.48129461760294,-148.42823337644256
-40.78684500996791,-115.47970194623962,-95.63981899178998,-309.05667773039386,-98.4934715968633,-324.490911487835,-82.59887407759282,-276.33644815091816,-148.07762332783082
-32.83444476881998,-119.0623453097862,-76.693212546995,-322.5410033725796,-98.88425133937875,-336.70261540441646,-80.36233907650673,-280.00926681663975,-146.20821919149265
-40.70220695813744,-120.83296470209032,-93.04926129362747,-306.7062835668599,-98.62733027672,-322.3322031774536,-82.85305133666219,-273.9717650811874,-148.21242350390784
-33.71945796741441,-117.69271988020418,-90.94309074163587,-320.3959250011243,-99.13804054908627,-330.89239281966286,-81.25572079550925,-280.6171796535301,-145.2718703773724
-43.89384598208971,-121.33179026826946,-90.32187897208104,-306.21005200777694,-98.50708867806225,-311.75261837816066,-83.08598125204644,-261.44580925823493,-147.5333329194528
-35.55779915211133,-120.07893992088133,-82.5253713254121,-313.6900354404879,-97.05951031368718,-328.6676935527064,-79.81798932814095,-286.8455297490882,-144.9153204412143
-41.12272681332945,-127.41602213060892,-94.0214154077465,-308.12970757549147,-99.23668428159387,-305.2571341178731,-83.08705018238408,-270.0441768982044,-146.39078436075573
-32.09292660179437,-118.44809501001436,-76.48942921341902,-326.47957669922863,-98.70008563408122,-337.5021340391276,-81.30480136070477,-280.47286544813943,-144.69476115755697
-41.81086290999403,-127.81379292882883,-98.30131895587887,-309.81449877722093,-99.33760759542231,-311.3946816206923,-82.61215340389784,-273.44077001187134,-148.93633532783252
-35.61420897543867,-121.10427982179415,-94.55659893004783,-322.68268582831195,-100.20718544330825,-337.7597412289248,-79.06454205129114,-285.17261496726906,-144.1832539385334
-43.16974783395482,-128.74921189382349,-91.88975190119575,-291.620843246521,-92.54165878246756,-307.95403994775455,-76.64173923742347,-266.07538660527956,-150.76255149712355
-35.04884414696811,-121.4620302456809,-84.03186237116836,-321.5871751066438,-101.69737052403568,-338.3389151038473,-82.92742726641735,-284.8527770644805,-147.31551767793604
-46.70028653368417,-120.51209614255244,-89.24921967088356,-292.34396604667324,-103.35952765525136,-309.0966103005273,-82.08209723189695,-258.7002230405304,-146.66403775862426
-32.893810845656866,-119.53227775593838,-78.06555152465411,-308.3108708961114,-98.59471238623357,-318.20070820047954,-81.53836757424679,-284.7166694313196,-144.51741633240783
-40.66552771836775,-117.59578440705495,-92.79291406568825,-306.23572333066943,-98.50708826981602,-309.406993281131,-80.39200566203272,-270.6320589287059,-147.31530390498187
-32.933302596577256,-116.46669113490668,-76.80701671380444,-313.53205154832597,-94.44112193518157,-325.8134383757189,-79.14688246646394,-284.65017133914,-144.88306289960158
-41.49117880617944,-121.19663649838796,-94.85402867017174,-306.95700028364035,-98.76508932196785,-319.23540893539416,-80.84298920064602,-261.1634554983774,-149.445458843661
-35.055865704804496,-119.70173563307257,-78.7902817156022,-317.83335297973355,-101.71937273016478,-330.75504422313406,-81.86211430405086,-283.8466125667695,-147.01273152432765
-40.665527718380545,-118.51195255764637,-93.78624525052746,-306.7987552912393,-97.4285928242382,-320.3106932973472,-79.8774937773638,-262.048992830599,-147.78904427711169
-32.73642648084084,-119.51837117405441,-77.34077196227555,-309.3509924798496,-98.10406808361302,-324.57454274368854,-78.85483299123433,-285.84957056633914,-143.68560636486336
-46.62704770974287,-129.25383420039967,-91.9073289056335,-292.90468237682205,-94.70064411642898,-309.50878671721273,-76.88900542388937,-258.9255028293814,-139.27620499108568
-34.909266530925684,-119.00177826533519,-92.66088890341697,-325.9698992283675,-99.03982707457926,-337.8044830597194,-81.15297515775954,-284.32397872990583,-148.1153010143795
-47.861735959523,-137.18666249959637,-95.06292881564136,-292.93676693178287,-96.96355082629316,-308.8100213637156,-81.47090300463486,-264.5414875164831,-150.6092478989439
-33.18399256617769,-115.83771250456459,-86.00233602824929,-322.9310778430402,-97.9030476291093,-336.61915159246956,-79.43680301251523,-285.59851926033576,-144.23892567300686
-44.0112763996573,-122.28217846053857,-85.32693129001878,-293.0958568662512,-97.2837120788349,-310.12545857498907,-81.8900770777035,-260.44638944935923,-152.6712826216354
-37.29632413199072,-119.03482976029866,-80.7797363472878,-311.6596137458916,-100.41810972603132,-323.0767530081791,-81.08595552229201,-279.8704455166446,-145.63398007300648
-47.37136917983284,-127.50170185020814,-94.96407215867792,-294.10820958227504,-103.40200118913074,-309.14625899876296,-77.15342915390725,-258.44624647329334,-145.70936445806217
-33.66492216201426,-118.80285185790845,-78.77504059507717,-309.2378279173321,-96.60463881113714,-318.20152677660553,-79.75167199015877,-281.79738520890635,-145.68341465020802
-40.78684500996629,-117.56211581421934,-95.87283141706173,-306.06289083527014,-98.8530111094792,-323.99576824220514,-82.02099743027614,-274.92439507928384,-148.0776234457906
-32.82012371539829,-118.15867775724823,-77.37195520441068,-325.10589732092575,-99.59212339762439,-337.50450740977607,-81.70502262790632,-280.14799030201476,-145.0129638685411
-41.465845487261745,-124.54091225959432,-92.99879431923307,-305.7081437851754,-99.0104229468015,-309.2522342363907,-79.02917936604261,-268.9696928057094,-147.29035578259263
-33.25886119184409,-119.04768582663841,-78.86491429241137,-308.8791888233344,-97.13621920775977,-322.38123428823064,-79.7609649203569,-285.34238014761996,-145.860645305883
-41.778700658063485,-123.75719543893693,-90.69055360251654,-307.159673396577,-99.37058291723056,-320.910062168186,-82.36687093271833,-275.924998197631,-147.66180736377842
-31.267968101307172,-118.19101581865368,-76.77621822247288,-323.2534226651157,-99.29660957252851,-334.4835687420476,-81.11411104368503,-280.4714764481242,-145.48803478619814
-42.66487127955797,-124.68632917135778,-92.3020848104073,-288.5891343798996,-92.87223652424072,-308.53713201391804,-77.36890230858275,-264.8115141430156,-149.83236926387048
-31.60818476448383,-117.45726387526302,-76.79099028725086,-317.72819161947007,-96.98625583191203,-326.86443862135417,-79.8491740689069,-283.70726575914415,-145.38121397161262
-47.11932970852036,-118.72600317610204,-79.70981232586723,-311.98812224567456,-102.61973421124056,-327.5684503971769,-81.29819411031302,-270.57308394164534,-146.10014292746607
