,Minute_of_day,reference,November,Active_Occupancy,Total_lighting,CHEST_FREEZER,FRIDGE_FREEZER,FRIDGE,UPRIGHT_FREEZER,ANSWER_MACHINE,CD_PLAYER,CLOCK,PHONE,HIFI,IRON,VACUUM,FAX,PC,PRINTER,TV1,TV2,TV3,VCR_DVD,RECEIVER,HOB,OVEN,MICROWAVE,KETTLE,SMALL_COOKING
29,30,00:29:00,0,0,0.0,0.0,0.0,0.0,0.0,1,2.0,2,1,9,0.0,0,0.0,5.0,4.0,3.0,3.0,0.0,2.0,15.0,0.0,0.0,2,1.0,2.0
30,31,00:30:00,0,0,0.0,0.0,0.0,0.0,0.0,1,2.0,2,1,9,0.0,0,0.0,5.0,4.0,3.0,3.0,0.0,2.0,15.0,0.0,0.0,2,1.0,2.0
31,32,00:31:00,0,0,0.0,0.0,0.0,0.0,0.0,1,2.0,2,1,9,0.0,0,0.0,5.0,4.0,3.0,3.0,0.0,2.0,15.0,0.0,0.0,2,1.0,2.0
32,33,00:32:00,0,0,0.0,0.0,0.0,0.0,0.0,1,2.0,2,1,9,0.0,0,0.0,5.0,4.0,3.0,3.0,0.0,2.0,15.0,0.0,0.0,2,1.0,2.0
33,34,00:33:00,0,0,0.0,0.0,0.0,0.0,0.0,1,2.0,2,1,9,0.0,0,0.0,5.0,4.0,3.0,3.0,0.0,2.0,15.0,0.0,0.0,2,1.0,2.0
34,35,00:34:00,0,0,0.0,0.0,0.0,0.0,0.0,1,2.0,2,1,9,0.0,0,0.0,5.0,4.0,3.0,3.0,0.0,2.0,15.0,0.0,0.0,2,1.0,2.0
35,36,00:35:00,0,0,0.0,0.0,0.0,0.0,0.0,1,2.0,2,1,9,0.0,0,0.0,5.0,4.0,3.0,3.0,0.0,2.0,15.0,0.0,0.0,2,1.0,2.0
36,37,00:36:00,0,0,0.0,0.0,0.0,0.0,0.0,1,2.0,2,1,9,0.0,0,0.0,5.0,4.0,3.0,3.0,0.0,2.0,15.0,0.0,0.0,2,1.0,2.0
37,38,00:37:00,0,0,0.0,0.0,0.0,0.0,0.0,1,2.0,2,1,9,0.0,0,0.0,5.0,4.0,3.0,3.0,0.0,2.0,15.0,0.0,0.0,2,1.0,2.0
38,39,00:38:00,0,0,0.0,0.0,0.0,0.0,0.0,1,2.0,2,1,9,0.0,0,0.0,5.0,4.0,3.0,3.0,0.0,2.0,15.0,0.0,0.0,2,1.0,2.0
39,40,00:39:00,0,0,0.0,0.0,0.0,0.0,0.0,1,2.0,2,1,9,0.0,0,0.0,5.0,4.0,3.0,3.0,0.0,2.0,15.0,0.0,0.0,2,1.0,2.0
40,41,00:40:00,0,0,0.0,0.0,0.0,0.0,0.0,1,2.0,2,1,9,0.0,0,0.0,5.0,4.0,3.0,3.0,0.0,2.0,15.0,0.0,0.0,2,1.0,2.0
41,42,00:41:00,0,0,0.0,0.0,0.0,0.0,0.0,1,2.0,2,1,9,0.0,0,0.0,5.0,4.0,3.0,3.0,0.0,2.0,15.0,0.0,0.0,2,1.0,2.0
42,43,00:42:00,0,0,0.0,0.0,0.0,0.0,0.0,1,2.0,2,1,9,0.0,0,0.0,5.0,4.0,3.0,3.0,0.0,2.0,15.0,0.0,0.0,2,1.0,2.0
43,44,00:43:00,0,0,0.0,0.0,0.0,0.0,0.0,1,2.0,2,1,9,0.0,0,0.0,5.0,4.0,3.0,3.0,0.0,2.0,15.0,0.0,0.0,2,1.0,2.0
44,45,00:44:00,0,0,0.0,0.0,0.0,0.0,0.0,1,2.0,2,1,9,0.0,0,0.0,5.0,4.0,3.0,3.0,0.0,2.0,15.0,0.0,0.0,2,1.0,2.0
45,46,00:45:00,0,0,0.0,0.0,0.0,0.0,0.0,1,2.0,2,1,9,0.0,0,0.0,5.0,4.0,3.0,3.0,0.0,2.0,15.0,0.0,0.0,2,1.0,2.0
46,47,00:46:00,0,0,0.0,0.0,0.0,0.0,0.0,1,2.0,2,1,9,0.0,0,0.0,5.0,4.0,3.0,3.0,0.0,2.0,15.0,0.0,0.0,2,1.0,2.0
47,48,00:47:00,0,0,0.0,0.0,0.0,0.0,0.0,1,2.0,2,1,9,0.0,0,0.0,5.0,4.0,3.0,3.0,0.0,2.0,15.0,0.0,0.0,2,1.0,2.0
48,49,00:48:00,0,0,0.0,0.0,0.0,0.0,0.0,1,2.0,2,1,9,0.0,0,0.0,5.0,4.0,3.0,3.0,0.0,2.0,15.0,0.0,0.0,2,1.0,2.0
49,50,00:49:00,0,0,0.0,0.0,0.0,0.0,0.0,1,2.0,2,1,9,0.0,0,0.0,5.0,4.0,3.0,3.0,0.0,2.0,15.0,0.0,0.0,2,1.0,2.0
50,51,00:50:00,0,0,0.0,0.0,0.0,0.0,0.0,1,2.0,2,1,9,0.0,0,0.0,5.0,4.0,3.0,3.0,0.0,2.0,15.0,0.0,0.0,2,1.0,2.0
51,52,00:51:00,0,0,0.0,0.0,0.0,0.0,0.0,1,2.0,2,1,9,0.0,0,0.0,5.0,4.0,3.0,3.0,0.0,2.0,15.0,0.0,0.0,2,1.0,2.0
52,53,00:52:00,0,0,0.0,0.0,0.0,0.0,0.0,1,2.0,2,1,9,0.0,0,0.0,5.0,4.0,3.0,3.0,0.0,2.0,15.0,0.0,0.0,2,1.0,2.0
53,54,00:53:00,0,0,0.0,0.0,0.0,0.0,0.0,1,2.0,2,1,9,0.0,0,0.0,5.0,4.0,3.0,3.0,0.0,2.0,15.0,0.0,0.0,2,1.0,2.0
54,55,00:54:00,0,0,0.0,0.0,0.0,0.0,0.0,1,2.0,2,1,9,0.0,0,0.0,5.0,4.0,3.0,3.0,0.0,2.0,15.0,0.0,0.0,2,1.0,2.0
55,56,00:55:00,0,0,0.0,0.0,0.0,0.0,0.0,1,2.0,2,1,9,0.0,0,0.0,5.0,4.0,3.0,3.0,0.0,2.0,15.0,0.0,0.0,2,1.0,2.0
56,57,00:56:00,0,0,0.0,0.0,0.0,0.0,0.0,1,2.0,2,1,9,0.0,0,0.0,5.0,4.0,3.0,3.0,0.0,2.0,15.0,0.0,0.0,2,1.0,2.0
57,58,00:57:00,0,0,0.0,0.0,0.0,0.0,0.0,1,2.0,2,1,9,0.0,0,0.0,5.0,4.0,3.0,3.0,0.0,2.0,15.0,0.0,0.0,2,1.0,2.0
58,59,00:58:00,0,0,0.0,0.0,0.0,0.0,0.0,1,2.0,2,1,9,0.0,0,0.0,5.0,4.0,3.0,3.0,0.0,2.0,15.0,0.0,0.0,2,1.0,2.0
59,60,00:59:00,0,0,0.0,0.0,0.0,0.0,0.0,1,2.0,2,1,9,0.0,0,0.0,5.0,4.0,3.0,3.0,0.0,2.0,15.0,0.0,0.0,2,1.0,2.0
60,61,01:00:00,0,0,0.0,0.0,0.0,0.0,0.0,1,2.0,2,1,9,0.0,0,0.0,5.0,4.0,3.0,3.0,0.0,2.0,15.0,0.0,0.0,2,1.0,2.0
61,62,01:01:00,0,0,0.0,0.0,0.0,0.0,0.0,1,2.0,2,1,9,0.0,0,0.0,5.0,4.0,3.0,3.0,0.0,2.0,15.0,0.0,0.0,2,1.0,2.0
62,63,01:02:00,0,0,0.0,0.0,0.0,0.0,0.0,1,2.0,2,1,9,0.0,0,0.0,5.0,4.0,3.0,3.0,0.0,2.0,15.0,0.0,0.0,2,1.0,2.0
63,64,01:03:00,0,0,0.0,0.0,0.0,0.0,0.0,1,2.0,2,1,9,0.0,0,0.0,5.0,4.0,3.0,3.0,0.0,2.0,15.0,0.0,0.0,2,1.0,2.0
64,65,01:04:00,0,0,0.0,0.0,0.0,0.0,0.0,1,2.0,2,1,9,0.0,0,0.0,5.0,4.0,3.0,3.0,0.0,2.0,15.0,0.0,0.0,2,1.0,2.0
65,66,01:05:00,0,0,0.0,0.0,0.0,0.0,0.0,1,2.0,2,1,9,0.0,0,0.0,5.0,4.0,3.0,3.0,0.0,2.0,15.0,0.0,0.0,2,1.0,2.0
66,67,01:06:00,0,0,0.0,0.0,0.0,0.0,0.0,1,2.0,2,1,9,0.0,0,0.0,5.0,4.0,3.0,3.0,0.0,2.0,15.0,0.0,0.0,2,1.0,2.0
67,68,01:07:00,0,0,0.0,0.0,0.0,0.0,0.0,1,2.0,2,1,9,0.0,0,0.0,5.0,4.0,3.0,3.0,0.0,2.0,15.0,0.0,0.0,2,1.0,2.0
68,69,01:08:00,0,0,0.0,0.0,0.0,0.0,0.0,1,2.0,2,1,9,0.0,0,0.0,5.0,4.0,3.0,3.0,0.0,2.0,15.0,0.0,0.0,2,1.0,2.0
69,70,01:09:00,0,0,0.0,0.0,0.0,0.0,0.0,1,2.0,2,1,9,0.0,0,0.0,5.0,4.0,3.0,3.0,0.0,2.0,15.0,0.0,0.0,2,1.0,2.0
70,71,01:10:00,0,0,0.0,0.0,0.0,0.0,0.0,1,2.0,2,1,9,0.0,0,0.0,5.0,4.0,3.0,3.0,0.0,2.0,15.0,0.0,0.0,2,1.0,2.0
71,72,01:11:00,0,0,0.0,0.0,0.0,0.0,0.0,1,2.0,2,1,9,0.0,0,0.0,5.0,4.0,3.0,3.0,0.0,2.0,15.0,0.0,0.0,2,1.0,2.0
72,73,01:12:00,0,0,0.0,0.0,0.0,0.0,0.0,1,2.0,2,1,9,0.0,0,0.0,5.0,4.0,3.0,3.0,0.0,2.0,15.0,0.0,0.0,2,1.0,2.0
73,74,01:13:00,0,0,0.0,0.0,0.0,0.0,0.0,1,2.0,2,1,9,0.0,0,0.0,5.0,4.0,3.0,3.0,0.0,2.0,15.0,0.0,0.0,2,1.0,2.0
74,75,01:14:00,0,0,0.0,0.0,0.0,0.0,0.0,1,2.0,2,1,9,0.0,0,0.0,5.0,4.0,3.0,3.0,0.0,2.0,15.0,0.0,0.0,2,1.0,2.0
75,76,01:15:00,0,0,0.0,0.0,0.0,0.0,0.0,1,2.0,2,1,9,0.0,0,0.0,5.0,4.0,3.0,3.0,0.0,2.0,15.0,0.0,0.0,2,1.0,2.0
76,77,01:16:00,0,0,0.0,0.0,0.0,0.0,0.0,1,2.0,2,1,9,0.0,0,0.0,5.0,4.0,3.0,3.0,0.0,2.0,15.0,0.0,0.0,2,1.0,2.0
77,78,01:17:00,0,0,0.0,0.0,0.0,0.0,0.0,1,2.0,2,1,9,0.0,0,0.0,5.0,4.0,3.0,3.0,0.0,2.0,15.0,0.0,0.0,2,1.0,2.0
78,79,01:18:00,0,0,0.0,0.0,0.0,0.0,0.0,1,2.0,2,1,9,0.0,0,0.0,5.0,4.0,3.0,3.0,0.0,2.0,15.0,0.0,0.0,2,1.0,2.0
79,80,01:19:00,0,0,0.0,0.0,0.0,0.0,0.0,1,2.0,2,1,9,0.0,0,0.0,5.0,4.0,3.0,3.0,0.0,2.0,15.0,0.0,0.0,2,1.0,2.0
80,81,01:20:00,0,0,0.0,0.0,0.0,0.0,0.0,1,2.0,2,1,9,0.0,0,0.0,5.0,4.0,3.0,3.0,0.0,2.0,15.0,0.0,0.0,2,1.0,2.0
81,82,01:21:00,0,0,0.0,0.0,0.0,0.0,0.0,1,2.0,2,1,9,0.0,0,0.0,5.0,4.0,3.0,3.0,0.0,2.0,15.0,0.0,0.0,2,1.0,2.0
82,83,01:22:00,0,0,0.0,0.0,0.0,0.0,0.0,1,2.0,2,1,9,0.0,0,0.0,5.0,4.0,3.0,3.0,0.0,2.0,15.0,0.0,0.0,2,1.0,2.0
83,84,01:23:00,0,0,0.0,0.0,0.0,0.0,0.0,1,2.0,2,1,9,0.0,0,0.0,5.0,4.0,3.0,3.0,0.0,2.0,15.0,0.0,0.0,2,1.0,2.0
84,85,01:24:00,0,0,0.0,0.0,0.0,0.0,0.0,1,2.0,2,1,9,0.0,0,0.0,5.0,4.0,3.0,3.0,0.0,2.0,15.0,0.0,0.0,2,1.0,2.0
85,86,01:25:00,0,0,0.0,0.0,0.0,0.0,0.0,1,2.0,2,1,9,0.0,0,0.0,5.0,4.0,3.0,3.0,0.0,2.0,15.0,0.0,0.0,2,1.0,2.0
86,87,01:26:00,0,0,0.0,0.0,0.0,0.0,0.0,1,2.0,2,1,9,0.0,0,0.0,5.0,4.0,3.0,3.0,0.0,2.0,15.0,0.0,0.0,2,1.0,2.0
87,88,01:27:00,0,0,0.0,0.0,0.0,0.0,0.0,1,2.0,2,1,9,0.0,0,0.0,5.0,4.0,3.0,3.0,0.0,2.0,15.0,0.0,0.0,2,1.0,2.0
88,89,01:28:00,0,0,0.0,0.0,0.0,0.0,0.0,1,2.0,2,1,9,0.0,0,0.0,5.0,4.0,3.0,3.0,0.0,2.0,15.0,0.0,0.0,2,1.0,2.0
