Model,scenario,obj_value,Installation_cost,load_price,number_of_EVs,Demand,AvailabeType_4,InstalledType_4,AvailabeType_8,InstalledType_8,AvailabeType_19,InstalledType_19,Time
CC_NoDelay,2887,8800.9456376,8800.0,0.9456375999998272,75,1358,2,0,7,0,6,4,1242.2863137722015
CC_NoDelay,2888,8800.9595119,8800.0,0.959511900000507,75,1377,2,0,7,0,6,4,938.4359273910522
CC_NoDelay,2889,8800.8896167,8800.0,0.8896167000002606,75,1270,2,0,6,0,5,4,193.99626302719116
CC_NoDelay,2890,8800.9152096,8800.0,0.9152095999997982,75,1328,2,0,6,0,5,4,2368.7610216140747
CC_NoDelay,2891,8800.8844406,8800.0,0.8844406000007439,75,1280,2,0,6,0,5,4,1081.8157241344452
CC_NoDelay,2892,11000.9839621,11000.0,0.9839620999991894,75,1430,2,0,7,0,6,5,1230.7008836269379
CC_NoDelay,2893,10301.0420043,10300.0,1.042004299999462,75,1491,2,0,7,1,6,4,1843.6923828125
CC_NoDelay,2894,11001.06791,11000.0,1.067909999999756,75,1549,3,0,8,0,6,5,1129.4343106746674
CC_NoDelay,2895,8800.9690881,8800.0,0.9690881000005902,75,1389,2,0,7,0,6,4,289.55552530288696
CC_NoDelay,2896,8800.9167266,8800.0,0.916726600000402,75,1319,2,0,6,0,5,4,648.563737154007
CC_NoDelay,2897,10300.9795796,10300.0,0.9795795999998518,75,1411,2,0,7,1,6,4,1339.0263488292694
CC_NoDelay,2898,9800.9355164,9800.0,0.935516400000779,75,1346,2,1,7,0,6,4,4310.468723297119
CC_NoDelay,2899,8800.9291953,8800.0,0.9291952999992645,75,1341,2,0,6,0,5,4,1548.2159450054169
CC_NoDelay,2900,8800.846507499993,8800.0,0.8465074999930948,75,1232,2,0,6,0,5,4,1021.6910946369171
CC_NoDelay,2901,8800.8527507,8800.0,0.8527506999998877,75,1238,2,0,6,0,5,4,1263.5644409656525
CC_NoDelay,2902,10300.9923439,10300.0,0.9923438999994687,75,1427,2,0,7,1,6,4,337.71762442588806
CC_NoDelay,2903,9800.9843661,9800.0,0.9843660999995336,75,1416,2,1,7,0,6,4,3287.98238158226
CC_NoDelay,2904,8800.9331262,8800.0,0.9331261999996059,75,1333,2,0,6,0,5,4,1275.3734636306763
CC_NoDelay,2905,8800.918772298744,8800.0,0.9187722987444431,75,1317,2,0,6,0,5,4,224.99117469787598
CC_NoDelay,2906,8800.9464947,8800.0,0.9464946999996755,75,1357,2,0,7,0,6,4,580.7217419147491
CC_NoDelay,2907,9800.9977345,9800.0,0.9977345000006608,75,1426,2,1,7,0,6,4,448.25693678855896
CC_NoDelay,2908,10301.0354808,10300.0,1.0354807999992772,75,1480,2,0,7,1,6,4,1070.1322920322418
CC_NoDelay,2909,11001.0187473,11000.0,1.0187473000005411,75,1483,2,0,7,0,6,5,1148.804253578186
CC_NoDelay,2910,8800.9043239,8800.0,0.9043239000002359,75,1311,2,0,6,0,5,4,2067.9695258140564
CC_NoDelay,2911,10300.9985993,10300.0,0.998599299999114,75,1437,2,0,7,1,6,4,1303.8172113895416
CC_NoDelay,2912,9800.9715713,9800.0,0.9715713000005053,75,1400,2,1,7,0,6,4,3513.215784072876
CC_NoDelay,2913,8800.9723919,8800.0,0.97239190000073,75,1399,2,0,7,0,6,4,256.44252490997314
CC_NoDelay,2914,11001.0859466,11000.0,1.0859466000001703,75,1576,3,0,8,0,6,5,3692.7116894721985
CC_NoDelay,2915,8100.8512359,8100.0,0.851235899999665,75,1221,2,0,6,1,5,3,958.0903573036194
CC_NoDelay,2916,9800.9393694,9800.0,0.9393693999991228,75,1351,2,1,7,0,6,4,875.3204429149628
CC_NoDelay,2917,8800.9333537,8800.0,0.9333537000002252,75,1336,2,0,6,0,5,4,511.5757167339325
CC_NoDelay,2918,9801.0009359,9800.0,1.0009358999996039,75,1432,2,1,7,0,6,4,1536.5786435604095
CC_NoDelay,2919,10301.0639428,10300.0,1.063942799999495,75,1522,2,0,7,1,6,4,1584.6871795654297
CC_NoDelay,2920,8800.8585383,8800.0,0.8585383000008733,75,1244,2,0,6,0,5,4,454.213987827301
CC_NoDelay,2921,9800.9698023,9800.0,0.969802300000083,75,1393,2,1,7,0,6,4,2225.773220062256
CC_NoDelay,2922,9800.9177456,9800.0,0.9177455999997619,75,1315,2,1,6,0,5,4,771.8033080101013
CC_NoDelay,2923,8800.9220479,8800.0,0.9220478999995976,75,1337,2,0,6,0,5,4,294.32216024398804
CC_NoDelay,2924,11001.0060401,11000.0,1.0060400999991543,75,1463,2,0,7,0,6,5,1862.12455534935
CC_NoDelay,2925,8800.8662399,8800.0,0.866239900000437,75,1256,2,0,6,0,5,4,1756.3118307590485
CC_NoDelay,2926,8800.8720908,8800.0,0.8720907999995688,75,1266,2,0,6,0,5,4,1597.9165732860565
CC_NoDelay,2927,8800.9545426,8800.0,0.9545426000004227,75,1376,2,0,7,0,6,4,501.5516080856323
CC_NoDelay,2928,9800.9975276,9800.0,0.9975276000004669,75,1433,2,1,7,0,6,4,2195.958141565323
CC_NoDelay,2929,10301.0107934,10300.0,1.0107934000006935,75,1443,2,0,7,1,6,4,1761.0786957740784
CC_NoDelay,2930,8800.8783468,8800.0,0.8783468000001449,75,1268,2,0,6,0,5,4,1302.614238500595
CC_NoDelay,2931,8800.928809,8800.0,0.9288089999990916,75,1333,2,0,6,0,5,4,622.1143627166748
CC_NoDelay,2932,8800.8648087,8800.0,0.8648087000001397,75,1257,2,0,6,0,5,4,2102.287883043289
CC_NoDelay,2933,8800.9323812,8800.0,0.9323812000002363,75,1345,2,0,7,0,6,4,2358.2892985343933
CC_NoDelay,2934,8800.9214205,8800.0,0.9214205000007496,75,1335,2,0,6,0,5,4,1853.209220647812
CC_NoDelay,2935,8800.933154,8800.0,0.933154000000286,75,1333,2,0,6,0,5,4,1018.6681883335114
CC_NoDelay,2936,8800.9250116,8800.0,0.925011600000289,75,1324,2,0,6,0,5,4,308.6246109008789
CC_NoDelay,2937,9800.9842632,9800.0,0.9842631999999867,75,1411,2,1,7,0,6,4,2634.857614994049
CC_NoDelay,2938,8800.9456376,8800.0,0.9456375999998272,75,1358,2,0,7,0,6,4,1260.2310767173767
CC_NoDelay,2939,8800.9595119,8800.0,0.959511900000507,75,1377,2,0,7,0,6,4,942.5648951530457
CC_NoDelay,2940,8800.8896167,8800.0,0.8896167000002606,75,1270,2,0,6,0,5,4,195.33013582229614
CC_NoDelay,2941,8800.9152096,8800.0,0.9152095999997982,75,1328,2,0,6,0,5,4,2402.1802554130554
CC_NoDelay,2942,8800.8844406,8800.0,0.8844406000007439,75,1280,2,0,6,0,5,4,1095.4637150764465
CC_NoDelay,2943,11000.9839621,11000.0,0.9839620999991894,75,1430,2,0,7,0,6,5,1387.753340959549
CC_NoDelay,2944,10301.0420043,10300.0,1.042004299999462,75,1491,2,0,7,1,6,4,2079.0034804344177
CC_NoDelay,2945,11001.06791,11000.0,1.067909999999756,75,1549,3,0,8,0,6,5,1047.9435732364655
CC_NoDelay,2946,8800.9690881,8800.0,0.9690881000005902,75,1389,2,0,7,0,6,4,293.7124111652374
CC_NoDelay,2947,8800.9167266,8800.0,0.916726600000402,75,1319,2,0,6,0,5,4,672.3882520198822
CC_NoDelay,2948,10300.9795796,10300.0,0.9795795999998518,75,1411,2,0,7,1,6,4,1497.4514863491058
CC_NoDelay,2949,9800.9355164,9800.0,0.935516400000779,75,1346,2,1,7,0,6,4,4444.653883218765
