1,2,3,4,5,6,7,8,9
237.8117474684196,247.31060215779385,249.96425412569326,252.14609441808994,252.67842176856905,240.72729884625755,244.05186372002245,240.6506509799311,252.43593108809927
673.2232551072932,646.3905119702134,601.1803268957906,937.919137603054,970.4240658216867,902.5069023798538,953.9126697072584,799.4300762096038,843.2716767063978
218.77272613707675,189.18127046558598,160.59463634213574,-52.649071876508216,-13.388861799632357,-82.31892902960449,188.46364903952477,-41.43120969140446,3.465312180164439
15.171925876287151,-562.2501951450154,-741.7363647263694,-997.3888892603837,-530.7079877192793,-994.1721521181189,-3.584183389756859,-966.4800143135899,-1197.640958274267
-22.184230107065854,-732.635623678604,-896.3108033430291,-1101.3080996655467,-568.0548951219224,-1083.7844454829929,-40.84957937381724,-1036.4845878704139,-1333.969093241212
-46.33545206361801,-1062.4480226636622,-1144.9538877813693,-1295.3454943542363,-698.313348239413,-1226.1542547575045,-71.99819644160338,-1228.2902425685952,-1543.8933134749534
-34.027920543042,-860.5196392374007,-945.2487087483405,-1194.510867205284,-649.0041610547519,-1149.4964221569846,-76.22279013564184,-1178.3105813877435,-1454.8679998575672
-46.079078991415,-964.8039385993152,-1202.8165364118377,-1292.6640837728228,-684.9729567575548,-1238.2002320149963,-75.42583868642704,-1215.3173165569096,-1546.45045244365
-36.33965447644907,-799.5669841889745,-1046.7782142854248,-1185.6790291583386,-664.8201301606642,-1205.9175514433225,-86.30193178301974,-1221.5770577196447,-1546.893025250955
-46.849911709830465,-978.8108044918952,-1164.3174080726733,-1260.4519338075452,-696.3507682101855,-1231.050149244341,-75.10829799046498,-1197.4373011566406,-1517.0294374047553
-39.23943448144077,-803.0944203688356,-1029.260766782834,-1213.4526076524583,-668.4953094138264,-1213.3642080184454,-84.87621303139818,-1203.8269929172916,-1545.4873457048448
-42.34251389580321,-954.9513098650633,-1181.3791137368753,-1220.5576003578155,-680.6457114616509,-1204.5626629274277,-70.24259642581983,-1171.0730236064962,-1504.2187046748752
-40.79035871211542,-817.091707944251,-1042.3463221160762,-1209.3427432099077,-668.2945417787386,-1203.376965508554,-86.20574565973224,-1191.676212803525,-1531.690364327442
-41.719604809024716,-966.8047360311037,-1151.4979183905366,-1221.5071114871464,-671.9435630838498,-1217.8910388600839,-75.26050874905846,-1184.9083299671668,-1520.9172459943159
-42.19256949229221,-807.1353919725744,-1051.5321993681553,-1218.8700874439057,-667.564628740185,-1196.581216715086,-85.77901742682596,-1184.147163772612,-1522.7172356031697
-40.68327674484763,-984.5140203157509,-1160.9222658641177,-1226.4566743627706,-682.6609694805662,-1231.7717035162161,-75.6280405583193,-1199.9804962365045,-1533.3495485708895
-41.09929119511641,-797.1337218092378,-1039.6477583809938,-1240.3678817651326,-674.3724474203351,-1199.8660891117588,-86.20072213140713,-1191.223981958952,-1542.4962280590753
-40.136799145554804,-944.1741429278283,-1177.0049760457518,-1274.6886733930178,-692.8349756304676,-1241.4441368075975,-67.78299503243386,-1200.9735436033063,-1513.2265287053426
-45.89754984605442,-798.043464707213,-1012.5826535908154,-1204.6882612831178,-674.3412266893366,-1198.7979456469939,-86.16007228404716,-1189.2423058112352,-1543.1826496482856
-16.314161871209862,-913.5691741121152,-1122.8158570347484,-1145.9436186253356,-614.9527184336677,-1115.0171522861838,-49.269323395212474,-1090.9932025638172,-1430.1116618438457
-64.07934156489878,-825.4141650241088,-1003.3592130358866,-1295.8645084353254,-743.7475152931343,-1283.9701409971838,-111.41479077991566,-1306.6197916576066,-1660.7777862678727
-17.48317921982413,-903.7848387524635,-1086.2489332128855,-1192.8213413383821,-631.7055120540156,-1162.4955730891363,-46.12517735339434,-1108.799464866051,-1442.1497507969698
-74.103315084616,-924.9523158894975,-1126.9797678205948,-1321.4688157628518,-765.7224516526767,-1345.2446742970453,-118.97716669927819,-1332.6360327234229,-1693.9882132534308
-21.057159004902783,-916.5617045367724,-1117.1877528619139,-1212.9003660851988,-649.9197137700886,-1179.64325812553,-51.028609203811094,-1124.4170129851166,-1450.7681212402306
-72.45605778211414,-905.3267844243181,-1161.5482389822655,-1321.1930083188975,-758.3538465912877,-1351.0312383180217,-116.84051951050509,-1329.0867976771842,-1664.0401055052494
-20.151419228226427,-913.7539940102399,-1139.6239904014938,-1184.439573108714,-636.0202601768365,-1162.7513977031767,-54.88238235605405,-1137.3282320337737,-1459.606185175839
